Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
1730345,A N PUBLIC SECONDARY SCHOOL,AMRISH KUMAR SHARMA,Senior Secondary,31/03/2023,"RADHA SWAMI BAGH , CHOMU, DISTT JAIPUR, RAJASTHAN ,303702","1423 ,205205",amrishsharma.edu@gmail.com,
1730497,A V S PUBLIC SCHOOL,NALINI KULSHRESTHA,Senior Secondary,31/03/2026,"SHRI PARSHWNATH TEERTH KSHETRA, BIJOLIYA, DISTT BHILWARA ,311602","1489 ,8432258451",shri.nannu26@gmail.com,
1730371,A'S SAINT STEWARD MORRIS SCHOOL,SHASHI PRABHA SHARMA,Senior Secondary,31/03/2024,"B SECTOR, PATHIK NAGAR,BHILWARA (RAJ) ,311001","91 ,9783323555",stewardmorris@gmail.com,
1730672,A.D.DAGA PUBLIC SCHOOL,DR. NEETA SINGH SONI,Secondary School,31/03/2020,"NEAR ANUBHAV SMARAK, CIRCUIT HOUSE ROAD, TAGORE NAGAR, PALI - MARWAR ,306401","2932 ,02932-284008",addpsas7@gmail.com,http://www.addagapublicschool.com
1730453,A.S.M. PUBLIC SCHOOL,Beant Singh Pannu,Senior Secondary,31/03/2022,"C.C. HEAD PADAMPUR DISTT. SRI GANGANAGAR ,335041","1505 ,281428",bspannuasm@gmail.com,
430151 ,AADHARSHILA SCHOOL,MRS. MAMTA SHARMA,Senior Secondary,31/03/2025,"NR. PANCHESHWAR MAHADEV, AHMEDABAD- HIMMATNAGAR N.H NO. 8, VALAD GANDHINAGAR-382355 ,382355","079 ,07923277488,",aadharshila.cbseschool@gmail.com,http://www.aadharshila.edu.in
1730392,AAKANKSHA INTERNATIONAL SCHOOL-THE GURUKUL,MR. YOGESH CHANDRA SHARMA,Senior Secondary,31/03/2024,"MUNDWA ROAD, DISTT NAGAUR, RAJASTHAN ,341001","1582 ,9414484177",AISTHEGURUKUL2007@REDIFFMAIL.COM,http://www.thegurukulnagaur.online
430338 ,AARYA-VEER INTERNATIONAL SCHOOL,Mr.ANKIT,Secondary School,31/03/2020,"AT: KUVADVA RAJKOT-AHEMDABAD HIGHWAY, KUVADVA SARDHAR ROAD ,360023",",02812784201",rishiparishad@gmail.com,http://www.aaryaveercampus.edu.in
430319 ,AAVISHKAR SCHOOL,MRS. NEHA SHAH,Senior Secondary,31/03/2026,"NR. VADSAR CANAL, OGNAJ CIRCLE, S.P. RING ROAD, SANTEJ, TA. KALOL, DIST. GANDHINAGAR ,382721","079 ,9033333456,",aavishkarscl@gmail.com,http://www.aavishkarschool.com
1730982,ABHILASHA INTERNATIONAL SCHOOL SANDWA,MRS. UJJWALA BISSA,Secondary School,31/03/2023,"VPO. - SANDWA (BIDASAR) CHURU ,331517",",01560272350",aissandwa@gmail.com,www.absssandwa.in
430390 ,ACADEMIC HEIGHTS PRIMARY SCHOOL,MRS. PRIYAVANDANA Y. RATHOD,Secondary School,31/03/2021,"B/H ENGINNERING COLLAGE, ANDHSHALA ROAD, TALAV FALIA, CHHAPRI ,389151",",953788929",deepakrathod8909@gmail.com,http://bachpanschooldahod.com
1730961,ACADEMIC HEIGHTS PUBLIC SCHOOL,MRS. SARITA SHARMA,Secondary School,31/03/2023,"NEAR FIRE BRIGADE STATION DUKOSI ROAD DUKOSI NAGAUR PIN-341001 ,341001",",01582242444",rachnagodara27@gmail.com,https://www.nagaur.academcheights.in
