Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
830443 ,515 ARMY BASE WKSHOP HIGH SCHOOL,T. ARASAN,Secondary School,31/03/2025,"515 ARMY BASE WKSHOP HIGH SCHOOL, CAMBRIDGE ROAD CROSS, HALASURU ,560008",",08025307559",515abwhighschool@gmail.com,http://www.515armyschool.g
830145 ,A M C SCHOOL,Sunita Jhamb ,Secondary School,31/03/2020,"18TH KM NATIONAL PARK ROAD BANGALORE KARNATAKA ,560083","080 ,27828657",sunitajhamb1@gmail.com,
830619 ,ACHIEVERS ACADEMY,MissKAVITHA.S.HIREMATH,Secondary School,31/03/2024,"NO:49,SRIRAMPURA VILLAGE,BOMMASANDRA-JIGANI LINK ROAD,ANEKAL TALUK,BANGALORE 562105. ,562105",",08027839266",ashwini1916@yahoo.com,http://achievers-academy.in
831061 ,ACT-NUTAN VIDYALAYA INTERNATIONAL SCHOOL,MR. NAVEEN KUMAR S,Secondary School,31/03/2023,"S.NO 7/1, NV GROUND, BRAHMAPUR, GULBARGA ,585103",",08472-223248",principal_actis@nutanvidyalaya.org,http://www.nutanvidyalaya.org
830725 ,ADARSHA CENTRAL SCHOOL BYADGI,PRAMOD  S  MALEKAR,Secondary School,31/03/2025,"RATTIHALLI ROAD, VIDYA NAGARA, BYADGI ,581106","8375 ,228088",pramod.malekar@gmail.com,
830230 ,AECS MAGNOLIA MAARUTI PUBLIC SCHOOL,Seema Goel,Senior Secondary,31/03/2024,"909/36, AREKERE, BANNERGHATTA ROAD, ,560076","080 ,26485622",magnoliamaaruti@gmail.com,http://www.yahoo.com
830199 ,AGRAGAMI VIDYA KENDRA,NEENU S THANKI,Senior Secondary,31/03/2026,"C/A SITE NO.15/1A A SECTOR 13TH MAIN ROAD, 80 FEET ROAD, YELAHANKA NEW TOWN, DISTT BANGALORE, KARNATAKA ,560064","080 ,41686714",neenuthanki@yahoo.in,http://www.avsmati.org
830042 ,AIR FORCE SCHOOL,Mrs. MADHURA M PHATAK,Secondary School,31/03/2025,"A.F.S YELAHANKA BANGALORE KARNATAKA ,560063","080 ,28478067",afschoolyel_06386@gmail.com,airforceschoolyel.org
830040 ,AIR FORCE SCHOOL,Mrs. Chumki Nath,Senior Secondary,31/03/2031,"MURUGESHPALAYAM CAMP VIMANPURA POST BANGALORE KARNATAKA ,560017","080 ,5272332",afsaste@yahoo.co.in,
830022 ,AIR FORCE SCHOOL,MRS. VASUGI GOPAL,Senior Secondary,31/03/2024,"JALAHALLI EAST BANGALORE KARNATAKA ,560013","080 ,8277755008",afsjal@rediffmail.com,afsjal.org
830021 ,AIR FORCE SCHOOL,Mrs Renu Singh,Senior Secondary,31/03/2025,"POST J C NAGAR HEBBAL BANGALORE KARNATAKA ,560006","080 ,23411061 extb 7955 7631 7633",afshebbal@gmail.com,www.afshebbal.co.in
830039 ,AIR FORCE SCHOOL,MRS E RICHARD,Secondary School,31/03/2025,"AIR FORCE STATION BIDAR KARNATAKA ,585401","08482 ,26281",sddavps_jamtara@rediffmail.com,
831113 ,AIRAA ACADEMY,MRS. GEETHA. K.N,Secondary School,31/03/2024,"AIRAA ACADEMY BANSHANKARI 6TH STAGE, HEMMIGEPURA MAIN ROAD, KENGERI HOBLI, VIDYAPEETA POST, ,560060",",6362399616",airaacbse@gmail.com,www.airaa.com
830521 ,AISHWARYA INTERNATIONAL PUBLIC SCHOOL,MACHIMANDA S VINDYA,Secondary School,31/03/2022,"B.M.ROAD, NEAR T.B.CIRCLE, H.K.V.NAGAR, MADDUR, MANDYA-DIST. ,571428","8232 ,213499",vindbops@gmail.com,
831097 ,AJAY AKSHARA PUBLIC SCHOOL,MR.M. UMAKANTH GOUD,Middle Class,31/03/2023,"KUSHTAGI ,583277",",9880463574",bestech8888@gmail.com,http://www.aaps.com
830419 ,AKASH INTERNATIONAL RESIDENTIAL  PUBLIC SCHOOL,MANJULA H V,Senior Secondary,31/03/2022,"BAICHAPURA DEVANAHALLI TOWN PRASANNAHALLI ROAD, BANGALE RURAL- 562110, PRASANNAHALLI ROAD, BANGALE RURAL DISTRICT. ,562110","91 ,9480355444",manjujuly1979@gmail.com,http://www.akashinternationalschool.com
830639 ,AKSHARA INTERNATIONAL PUBLIC SCHOOL,MR. SURESH BABU C K,Secondary School,31/03/2025,"KOWDLE, KOPPA HOBLI,MADDUR TALUK MANDYA KARNATAKA ,571425","8232 ,08232270664,",aksharaipskowdle@gmail.com,http://www.aksharaips.com
830664 ,AKSHARA SCHOOL,Vineetha N R,Secondary School,31/03/2025,"AKSHARA NAGARA,CHENNAMUMBPURA,OPP JNNCE, SAVALANGA ROAD, SHIVAMOGGA - 577 204 ,577204","0818 ,298098",Vinitanavale@gmail.com,http://www.aksharainstitutions.com
830912 ,AL BASHEER INTERNATIONAL SCHOOL- MADRASA,MR.ABDUL WAHID,Secondary School,31/03/2021,"SY NO 40/4,40/6,SAKALAVARA VILLAGE,ANEKAL TALUK,JIGANI HOBLI ,560083",",80 27837127",sajjadabis@gmail.com,http://www.albasheer.org
830359 ,AL-FURQAN ISLAMIC ENGLISH MEDIUM SCHOOL,NAZRANA,Secondary School,31/03/2026,"POST MITHABAIL PUTTHIGE ,574226","8258 ,8197366667",nazrana@rocketmail.com,http://www.alfurqan.org
830299 ,ALPINE PUBLIC SCHOOL,JAYALAKSHMI SHASTRY,Senior Secondary,31/03/2023,"OFF KANAKPURA ROAD, BEHIND METRO. OPP OF DELHI PUBLIC SCHOOL, BANGALORE ,560062","91 ,7815010800",principal@alpinepublicschool.com,http://www.alpinepublicschool.com
830919 ,ALVAS CENTRAL SCHOOL,MRS. UMA RUFUS,Secondary School,31/03/2022,"PUTHIGE, MOODBIDRI,DAKSHINA KANNADA DIST-574227 ,574227",",08258237201",samparka@alvas.org,http://www.alvascentralschool.com
830149 ,AMARA JYOTHI PUBLIC SCHOOL,PAILY T S,Senior Secondary,31/03/2025,"BASAVANAPURA MAIN ROAD DEVA SANDRA K R PURAM BANGALORE KARNATAKA ,560036","080 ,64501555",principal@amarajyoti.edu.in,
831094 ,AMBIKA VIDYALAYA,MRS. M.SUJANI,Secondary School,31/03/2024,"BAPPALIGE, PUTTUR, D.K., 574201. ,574201",",08251233488",ambikaschool2016@gmail.com,http://www.ambikavidyalaya.com
831005 ,AMIT PATIL CENTRAL SCHOOL,MRS. SUSHMA S H,Secondary School,31/03/2023,"SY.NO.82/2 NEAR KIADB OFFICE KAPNOOR INDUSTRIAL ESTATE, IST PHASE, HUMNABAD ROAD, GULBARGA ,585104",",08472269269",principal.apcs@gmail.com,www.amitpatilcentralschool.in
830476 ,AMRATHA BHARATHI VIDYAKENDRA,MOHAN K,Secondary School,31/03/2026,"MITHILANAGARA, KARKALA ROAD, HEBRI ,576112","0825 ,251011",koppamanu@gmail.com,
830086 ,AMRITA VIDALAYAM,VIRAJAMRITA CHAITANYA,Secondary School,31/03/2023,"NO 114 7TH CORSS BOGADI II STAGE, DISTT MYSORE, KARNATAKA ,570006","0821 ,2341711",virajamrita@gmail.com,http://www.jbnss.org
830173 ,AMRITA VIDYALAYAM,BRI Amalamrita Chaitanya,Secondary School,31/03/2017,"CHINCHEWADA, SADASHIVGAD, NORTH KANNADA ,581352","0838 ,266598",principal.karwar@vidyalayam.amrita.edu,
830146 ,AMRITA VIDYALAYAM,MANGALAMRTA CHAITANYA,Senior Secondary,31/03/2023,"SULTHRN BATHERY ROAD BOLOOR MANGALORE KATNATAKA ,577102","0824 ,2452772",principal.mangalore@amritavidyalayam.org,
830169 ,AMRITA VIDYALAYAM,ANJALI,Secondary School,31/03/2022,"#1179/7 NIJALINGAPPA LAYOUT DAVANGERE KARNATAKA ,577004","8192 ,226001",ammasanjali@gmail.com,
830250 ,AMRITA VIDYALAYAM,SUSHMA S CHARANTIMATH,Secondary School,31/03/2022,"71/1, NEAR BHAVANI NAGAR, MANDOLI ROAD, BELGAUM, KARNATAKA ,590008","0831 ,2443153",principal.belgaum@vidyalayam.amrita.edu,
830260 ,AMRITA VIDYALAYAM,Sathi unnikrishnan,Senior Secondary,31/03/2024,"#136, MATA AMRITANANDAMAYI ROAD, JNANABHARATHI II STAGE,(BEHIND BANGALORE UNIVERSITY) ULLALA UPANAGARA POST ,560056","080 ,64558737",av_banglore@rediffmail.com,
830105 ,ANAND SHIKSHA KENDRA,NEELIMA TEOTIA,Secondary School,31/03/2022,"KAIKONDANAHALLI BELANDUR GATE CARMELRAM POST SARJAPUR ROAD BANGALORE KARNATAKA ,560035","080 ,41688547",neel_1962@rediffmail.com,
830768 ,ANANDATHIRTHA VIDYALAYA,Mrs.Geetha S Kotian,Secondary School,31/03/2026,"ANANDATHIRTHA VIDYALAYA, KURKAL VILLAGE,UDUPI.P.O KUNJARUGIRI. ,574105",",9482358995",principal@anandathirthavidyalaya.com,http://www.Anandathirthavidyalaya.com
830690 ,ANGADI INTERNATIONAL SCHOOL,MRS.ASHA V. RAJPUT,Secondary School,31/03/2026,"OPP. AITM CAMPUS, SAVAGAON ROAD, BELAGAVI. ,590009","0831 ,0831-2438113,",aisbgm@gmail.com,http://www.aisbgm.org
830446 ,ANKUR PRIMARY SCHOOL,REKHA BIDDAIAH A B,Secondary School,31/03/2025,"HALETHALUK NAPOKLU, SOUTH KODAGU-571214 ,571214","0827 ,263634",ketoliraratna9@gmail.com,
830222 ,ANMOL PUBLIC SCHOOL,SATYANARAYANA REDDY S,Secondary School,31/03/2026,"SHIRAMAGONDANAHALLI, DAVANGERE, KARNATAKA ,577005","8192 ,264655",anmolschool@rediffmail.com,
831137 ,ANNAPURNESHWARI ENGLISH MEDIUM SCHOOL,MR. VINAY ARAVIND KONDEBETTU,Middle Class,31/03/2024,"NEAR LAXMI CROSS N M ROAD PATTANKUDI TQ:CHIKODI, DIST: BELGAVI, STATE:KARNATAKA, PINCODE:591238 ,591238",",08338275194",annapurneshwari.school@gmail.com,http://annapurneshwarischool.com
830397 ,"APPA PUBLIC SCOOL,GULBARGA",MR.SHANKARGOUDA HOSAMANI,Senior Secondary,31/03/2022,"SHARANA NAGAR, GULBARGA ,585103","8472 ,08472 230255",principal_appapublicschool@yahoo.com,http://www.appacbseglb.org/
830633 ,ARADHANA HIGHER PRIMARY SCHOOL,SR CELINE,Secondary School,31/03/2023,"KODI CAMP, TARIKERE, CHIKAMAGALUR DISTRICT, KARNATAKA ,577228","8261 ,223466",celinetho@yahoo.com,http://aradhanaschool.in
830018 ,ARMY PUBLIC SCHOOL,Mrs. Sajitha Satish,Senior Secondary,31/03/2025,"ABDUL HAMID BARRACKS K KAMARAJ ROAD BANGALORE KARNATAKA ,560042","080 ,5591999,9449260477",apsbangalore@gmail.com,
830052 ,ARMY PUBLIC SCHOOL,MRS. MOUSUMI DUTTA,Senior Secondary,31/03/2025,"NEAR MEKHRI CIRCLE J C NAGAR P.O. BANGALORE KARNATAKA ,560006","080 ,08023433341",info@apsprtc.edu.in,http://www.apsprtc.edu.in
830030 ,ARMY PUBLIC SCHOOL ASC CENTRE AND COLLEGE,DR. UPASANA YADAV,Senior Secondary,31/03/2025,"A.S.C CENTRE SOUTH AGARAM POST BANGALORE KARNATAKA ,560007","080 ,08025550677",apsasc@gmail.com,www.apsas.edu.in
830964 ,ARVIND INTERNATIONAL RESIDENTIAL SCHOOL,Mr. Darshan,Secondary School,31/03/2022,"GIRIGOWDANAPALYA GATE, MADDUR ROAD, KUNIGAL - 572130 ,572130",",08132-210000",principalais2016@gmail.com,
