Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
1031001,7I WORLD SCHOOL SHIVPURI LINK ROAD GWALIOR,MRS. ALKA BHARGAVA,Senior Secondary,31/03/2023,"SHIVPURI LINK ROAD ,474009",",07514030777",admin@7iworldschool.com,www.7iworldschool.com
1030304,AADHARSHILA ACADEMY,ABHILASHA CHATURVEDI,Senior Secondary,31/03/2022,"SANWAR ROAD UJJAIN MADHYA PRADESH ,456001","0734 ,6555565",aadharshilaacademy@yahoo.com,
1030604,AADITYA VIDYA VIHAR HIGHER SECONDARY SCHOOL,PRAMILA PATEL,Senior Secondary,31/03/2025,"KHANDWA ROAD, KHARGONE ,451001","7282 ,234789",ashokdixit@live.com,
1030876,AAKAR PUBLIC SCHOOL,MRS. JAYA NAG,Senior Secondary,31/03/2024,"PIPROLI, SHIVPURI LINK ROAD ,475001",",07516055557,",aakarpublicschool@gmail.com,http://www.apsgwl.in
1030823,AARADHYA INTERNATIONAL SCHOOL,Kiran peter,Senior Secondary,31/03/2026,"KHASARA NO 1888/3 PATWARI HALKA NO.44 VILLAGE MUNJAKHEDI ,456664","0 ,0",aaradhyainternational2014@gmail.com,http://www.aaradhyainternationalschool.com
1031209,ABHYAAS INTERNATIONAL SCHOOL,MR. ARUN JAIN,Secondary School,31/03/2024,"JASSAKHEDI ROAD, BARNAGAR ,456771",",7509264932",abhyaasinternational@gmail.com,https://www.abhyaasinternational.com/
1031047,ABHYUDAY VIDYASTHALI,MR. G. PHANEENDRA BALAJI,Senior Secondary,31/03/2023,"GAWADI FATA KHANDWA ROAD VILLAGE MAGRIYA ,451001",",07282235900",abhyudayvidyasthali@gmail.com,abhyudayvidyasthali.edu.in
1030939,ACADEMIC HEIGHTS PUBLIC SCHOOL,MR. B BALACHANDRUDU,Senior Secondary,31/03/2023,"476001 ,476001","7532 ,9644405864",ahpskarua@gmail.com,http://www.morena.academicheights.in/
1030967,ACADEMIC HEIGHTS PUBLIC SCHOOL,MRS. T. SHOBHA REDDY,Senior Secondary,31/03/2022,"CHANDI DAI ROAD, VILL.-KARHI PAWAI, PANCHAYAT-KARHI KOTHAR ,485001","7672 ,07672-293525",principal.ahpssatna@gmail.com,http://www.satna.academicheights.in
1031150,"ACADEMIC HEIGHTS PUBLIC SCHOOL, KATNI",MRS. RAJDULARI,Secondary School,31/03/2023,"NEAR R.S TIMBER YARD MADHAV NAGAR STATION ROAD, AMIR GANJ ,483501",",07622407206",mg22303@gmail.com,www.academicheights.in
1031058,"ACADEMIC HEIGHTS PUBLIC SCHOOL, TIMARNI",MR. S.MAJUMDAR,Senior Secondary,31/03/2023,"ACADEMIC HEIGHTS PUBLIC SCHOOL,VILLAGE - NIMACHA, TIMARNI (M.P.) ,461228",",9591785974",academicheightschol@gmail.com,
1030875,ACHARYA SHRIRAM VIDYALAYA,RIZWAN HUSSAIN,Senior Secondary,31/03/2023,"WARD NO-1,PIPRI ,NOWGONG ,471201","91 ,9425416142",asv.nwg@live.com,
1031012,ACHARYA VIDYASAGAR PUBLIC SCHOOL,MR.  SANTOSH AGARWAL,Senior Secondary,31/03/2023,"G- POTHYAI, GAUSHALA CAMPUS, NEW PICHHORE ROAD, KHANIYADHANA ,473990",",07909472032",avpskhaniyadhana@gmail.com,www.avpsschool.com
1030311,ADARSH ACADEMY,Sandhya Saxena,Senior Secondary,31/03/2022,"A B ROAD VILLAGE GULJHARI TEHSIL DHAMNOD, DIST. DHAR, MADHYA PRADESH-454552 ,454552","7291 ,224510",sandhya01061965@gmail.com,www.adarshdhamnod.com
1030129,ADITIYA BIRLA SENIOR SECONDARY SCHOOL,YOGESH PALIWAL,Senior Secondary,31/03/2026,"NEAR PETROL PUMP BIRLAGRAM NAGDA, DIST UJJAIN, MADHYA PRADESH ,456331","7366 ,255173",yogesh.paliwal@adityabirla.com,
1030524,ADITYA BIRLA PUBLIC SCHOOL,A P TYAGI,Senior Secondary,31/03/2026,"ADITYA VIHAR, P.O. BHARATPUR, DISTT.SIDHI(MP) ,486776","7802 ,276641",ap.tyagi@jalindia.co.in,
1030330,ADITYA CONVENT SCHOOL,DIVYA BAJPAI,Senior Secondary,31/03/2022,"231, BAJPAI COLONY, GOPAL VIHAR, DISTT JABALPUR, MADHYA PRADESH ,482002","0761 ,2342323",divyamit.bajpai@gmail.com,
1030489,ADITYA PUBLIC SCHOOL,KUSUM SAKLECHA,Senior Secondary,31/03/2023,"REWAS DEWRA ROAD MANSAUR (M.P) ,458001","7422 ,244884",adityapublicschoolmandsaur1@gmail.com,
1031234,ADITYA WORLD SCHOOL,MRS. MITALI ROY,Secondary School,31/03/2024,"NAINAGIR GWALIOR BYPASS ,474011",",07514079799",principal@adityaworldschool.com,www.adityaworldschool.com
1030183,ADVANCED ACADEMY,MRS. RENU MULEY,Senior Secondary,31/03/2024,"ISKCON VIHAR NIPANIA ROAD INDORE MADHYA PRADESH ,452018","0731 ,7415666676",advancedindore@gmail.com,http://advancedacademyindore.com
1030660,ADVANCED KIDS ACADEMY,MR. JIJEESH JOSEPH,Senior Secondary,31/03/2024,"MAINAKHEDI ZIRAPUR TEHSIL ZIRAPUR MACHALPUR ROAD ,465691","7370 ,7440663659",advancedkidsacademy@gmail.com,http://www.advancedkidsacademy.edu.in/
