Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
3330092,AADESHWAR ACADEMY,Pradip Kumar Pandey,Senior Secondary,31/03/2023,"HALBA KACHORA, ADAWAL, JAGDALPUR, DISTT BASTAR, CHHATTISGARH ,494001","7782 ,264500",pradip_p111@yahoo.co.in,http://aadeshwaracademy.org
3330211,AADHARSHILA,Chhote Lal Shukla,Senior Secondary,31/03/2025,"VILLAGE BIJABHAT BHATAPARA RAIPUR ,493118","7726 ,220254",aadharshilabyt@gmail.com,http://www.aadharshila.net
3330179,AADHARSHILA VIDYA MANDIR,NITU SHARMA,Senior Secondary,31/03/2022,"BEHIND GOVT. ENGG. COLLEGE, RAMTALA ROAD, KONI ,495009","0775 ,2260085",principal.avmbsp@gmail.com,http://www.avmbsp.com
2430178,AALOKE BHARTI MODEL SCHOOL,Mr. Soumik Mukherjee,Secondary School,31/03/2023,"RANA PARK AATGHARA, DALUA, SONARPUR, KOLKATA ,700152","033 ,65655020",principalabmschool@gmail.com,
3330396,AARYAN PUBLIC SCHOOL,MR. MANGAL MURTI SHARMA,Middle Class,31/03/2023,"OPPOSITE URGA PETROL PUMP URGA ,495677",",7772030008",rsbeducationalsociety@gmail.com,
3330402,AARYAN PUBLIC SCHOOL,MRS. NEELAM SINGH,Secondary School,31/03/2024,"KORBA, CHAMPA ROAD , URGA , KORBA ,495677",",7772030008",rsbeducationalsociety@gmail.com,www.apskorba.com
1530303,AASTHA PUBLIC SCHOOL,MR. BILWA SARKAR,Secondary School,31/03/2024,"AT-PATNAGARH ROAD,PO-BELPARA,DISTT-BOLANGIR PINCODE-767026 ,767026",",07326967555",apsbelpada@gmail.com,apsbelpada.org
3320264,"AASTHA VIDYA MANDIR ENGLISH MEDIUM, AT. EDUCATION CITY,",SANTOSH PRADHAN,Senior Secondary,31/03/2023,"JAWANGA,P.O. GEEDAM, DISTT. DANTEWADA , CHHATTISGARH- 494 441 ,143001","7856 ,2244477",santosh.pradhan197610@gmail.com,
2430036,ABHINAV BHARATI HIGH SCHOOL,SRABONI SAMANTA,Senior Secondary,31/03/2023,"11 PRETORIA STREET CALCUTTA ,700071","033 ,22823516",abhs@vsnl.net,
3330199,ABHYUDAY SCHOOL,SUBHASH CHANDRA VERMA,Senior Secondary,31/03/2024,"SARODHA CANAL ROAD, RAJNANDGAON ROAD, KAWARDHA DISTT, CHHATTISGARH ,491559","9522 ,272239",principal@abhyuday.edu.in,http://www.abhyuday.edu.in
1530238,ABS OXFORD INTERNATIONAL SCHOOL,ABHIRAM SAHOO,Secondary School,31/03/2025,"AT/PO-NIALI ,754004","0671 ,2803122",abhiramsahoo79@gmail.com,http://www.absoxford.com
3330261,ACADEMIC BRIGHTS PUBLIC SCHOOL,,Senior Secondary,31/03/2023,",496661",",09575420094",academicbrightkharsia@gmail.com,
3330270,ACADEMIC HEIGHTS PUBLIC SCHOOL,MR. P. RAVI SHANKAR,Senior Secondary,31/03/2023,"TENDUDAND, VIKASKHAND- MANENDRAGARH, DISTT- KORIYA, CHATTISGARH ,497442",",07771243953",ahps5095@academicheights.in,www.manendragarh.academicheights.in
3330168,ACADEMIC WORLD SCHOOL,JASHVIR CHAUDHARY,Senior Secondary,31/03/2023,"""VAKRANGEE"" NH-12A, VILLAGE-LOLESARA, BEMETARA, DISTT DURG (C.G.) ,491335","7824 ,9179997333",academicworldschool@gmail.com,
2430157,ADAMAS WORLD SCHOOL,Mrs. Suparna Bhattacherjee,Senior Secondary,31/03/2026,"BARASAT - BARRACKPORE ROAD,POST OFFICE-JAGANNATHPUR, DISTRICT:NORTH 24 PARGANAS, WEST BENGAL, PIN-700126 ,700126","033 ,03364500503",principal.aws@adamas.co.in,http://www.adamas.co.in/worldschool
1530273,ADANI PUBLIC SCHOOL DHAMRA,Mr.Prafulla Kumar Mohanty,Secondary School,31/03/2022,"C/O. DPCL DAV PUBLIC SCHOOL DHAMRA PORT, DOSINGA ,756171",",07925557721",bhadrayu.vachhrajani@adanifoundation.com,
3330371,"ADANI VIDYA MANDIR, SURGUJA",MR. RAJANIKANT SHARMA,Secondary School,31/03/2022,"VILLAGE : SALHI, POST : DANDGAON, BLOCK : UDAIPUR, SURGUJA, CHHATTISGARH - 497001 ,497001",",9898645421",jatin.upadhyay@adanifoundation.com,http://www.adanividyamandir.org/
3330417,ADARSH INTERNATIONAL SCHOOL,MRS. JASVEER SARKAR,Secondary School,31/03/2024,"A-4, SECTOR 30, NAYA RAIPUR ,492002",",8889020003",principalais@adarshvidyalaya.net,www.adarshvidyalaya.net/atalnagar
3330118,"ADARSH VIDYALALYA, ADARSH NAGAR, MOWA, RAIPUR, C.G.",MRS. SABITA CHATURVEDI,Senior Secondary,31/03/2025,"ADARSH VIDYALAYA, MOWA,RAIPUR ,492007","0771 ,07714046318",adarshvidyalaya2004rks@gmail.com,http://www.adarshvidyalayamova.edu.in
3330231,ADARSH VIDYALAYA ENG. MED. HR. SEC. SCHOOL,MR. ANIL PILLAI,Senior Secondary,31/03/2022,"SEC.-1, UDAYA SOCIETY, TATIBANDH ,492099","0771 ,2573303,",pillaianil.24@gmail.com,http://www.adarshvidyalayatatibandh.ac.in
1530292,ADARSHA INTERNATIONAL SCHOOL,MR. SANTOSH KUMAR GAUDU,Senior Secondary,31/03/2024,"PANCHAMAHALA PO RANTALEI, ANGUL , ODISHA- 759122 ,759122",",06764233789",adarshaint.school@gmail.com,www.adarshaintschool.com
3330234,ADESHWAR PUBLIC SCHOOL,MRS. RANI MATHEW,Senior Secondary,31/03/2024,"KHAMARGAON JAGDALPUR BASTAR C.G. 494001 ,494001","7782 ,07782227744",adeshwarpublic@gmail.com,http://www.adeshwarpublicschool.com
2430079,ADITYA ACADEMY SECONDARY,PARAMITA GHOSAL,Senior Secondary,31/03/2025,"KADAMBAGACHI PS BARASAT DISTT NORTH 24 PARGANAS WEST BENGAL ,700124","91 ,9051950059",paramita.ghosal@adityaacademy.org,www.adityaacademy.org
2430168,ADITYA ACADEMY SR. SEC SCHOOL,MITA BANERJEE,Senior Secondary,31/03/2025,"DUMDUM 435 JESSORE ROAD 24PGS(N) ,700055","91 ,65336887",mita.banerjee@adityaacademy.org,
1530186,ADITYA BIRLA PUBLIC SCHOOL UAIL CAMPUS,Laxminarayan Dash,Secondary School,31/03/2022,"DORAGUDA PO-KUCHEIPADAR, RAYAGADA ,765001","6865 ,287064",laxmi.dash@adityabirla.com,
2430283,ADITYA BIRLA VANI BHARATI,MISS SUSMITA BANERJEE,Senior Secondary,31/03/2023,"RISHRA, PO-PROBASNAGAR ,712249",",03326726190",susmita_banerjee2002@yahoo.co.in,
1530164,ADITYA RESIDENTIAL SCHOOL,Krishna Mahajanam,Secondary School,31/03/2025,"AT:BHALUBAHAL, PO:SASON, DIS:SAMBALPUR ,768200","0663 ,9937859888",adityasambalpurprincipal@gmail.com,
1530305,AG MISSION SCHOOL,MR. M. MARTIN,Secondary School,31/03/2024,"GOPABANDHU NAGAR CHANDPUR NAYAGARH ODISHA ,752024",",9583586540",agmissionschoolchandpur@gmail.com,www.agmissionschool.com
2430216,AGARPARA SWAMI VIVEKANANDA ACADEMY,Rashbehari Pal,Secondary School,31/03/2022,"3 B.T.ROAD, KOLKATA - 700058 ,700058","033 ,25839590",asva.cbse@gmail.com,http://www.barrackporerkvm.org
3330269,AGARWAL PUBLIC SCHOOL,MRS. ROHINI THAPPA,Senior Secondary,31/03/2024,"PLOT B-4, SECTOR - 28 ,492015",",07712430111",info.apsnayaraipur@gmail.com,http://www.apsraipur.in
3330421,AGHORE VIDYA PEETHA,MR. SURAJ PRAKASH,Secondary School,31/03/2024,"PONDI DALHA AKALTARA ,495552",",7471111834",affiliations@indiaeducare.com,www.aghorevidyapeetha.org
2430143,AGPN CONVENT & EKLABYA RESIDENTIAL SCHOOL,Shankar Dey,Senior Secondary,31/03/2023,"CHAKDA,P.S. MAFASSAL PO.& DIST. PURULIA (W.B) ,723102","3252 ,227845",agpnconventschool2430143@yahoo.co.in,http://www.agpnpurulia.in
3330502,AGRSEN INTERNATIONAL SCHOOL,Mrs.P ANNAPURNA,Secondary School,31/03/2023,"VILL.& POST-DAGANIA ,491221",",8959593939",agraseninter@gmail.com,http://www.agraseninternationalschool.in
3330394,AHILYA INTERNATIONAL SCHOOL,MISS ANJALI,Secondary School,31/03/2023,"AHILYA INTERNATIONAL SCHOOL BALODA BAZAR VILLAGE-LAHOD ,493526",",7697437003",ahilyacbse@gmail.com,ahilyainternationalschool.com
2430047,AIR FORCE SCHOOL,MRS RANJEETA MAGUMDAR,Senior Secondary,31/03/2025,"A F S BARRACKPORE BENGAL ENAMEL PALTO 24 P & S (N) ,743122","05612 ,af/4371",vktftp@rediffmail.com,
2430017,AIR FORCE SCHOOL,ANIMA CHAUDHARI,Senior Secondary,31/03/2025,"NO 16 WING A F HASIMARA DISTT JALPAIGURI C/O 99 A P O WEST BENGAL ,734424","01482 ,350",stmary1983@gmail.com,
2430030,AIR FORCE SCHOOL BAGDOGRA,DR. MEETA VIJAYA BENIPURI,Senior Secondary,31/03/2023,"BAGDOGRA DISTT. DARJEELING WEST BENGAL ,734421","05612 ,03532698093",princiafbgd@rediffmail.com,airforceschoolbagdogra.com
