Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
1631160,"A I INTERNATIONAL SCHOOL, UPPAL JAGIR, NURMAHAL NAKODAR ROAD, NURMAHAL, DIST. JALANDHAR.",Neena Kapoor,Secondary School,31/03/2025,"UPPAL JAGIR ,144039","091 ,9876313622",principal@aiisschool.com,
1630244,A P J PUBLIC SCHOOL,JASVIR CHANDER,Senior Secondary,31/03/2022,"WARD NO 4 MANDI KHARAR DISTT ROPAR PUNJAB ,140301","0160 ,9878961498",apjkhr@yahoo.com,
1630366,A P S PUBLIC SCHOOL,AWTAR KAUR,Senior Secondary,31/03/2023,"V& PO LUBANIANWALI TEH & DISTT MUKTSAR PUNJAB ,152026","091 ,9780879911",aaypeess@yahoo.com,
1630020,A S MODERN SCHOOL,shaminder verma,Senior Secondary,31/03/2024,"KHANNA LUDHIANA DISTT PUNJAB ,141401","1628 ,231567",asmodern1@gmail.com,www.asmodernkhanna.com
1630314,A V PUBLIC SCHOOL,Sangeeta Tinna,Senior Secondary,31/03/2022,"FAZILKA DISTT FEROZPUR PUNJAB ,152123","1638 ,264431",sangeetatinnaavps@gmail.com,
1630925,A&MS GEMS CAMBRIDGE INTERNATIONAL SCHOOL,MR.RISHI DOGRA,Senior Secondary,31/03/2021,"OPPOSITE CANADA PALACE, NEAR A&M INSTITUTES, JALANDHAR -DALHOUSIE BYE PASS ,PATHANKOT ,145001","0186 ,01866918164,",gcis.pathankot@gmail.com,http://www.gcispathankot.com
1630877,A.A.R. JAIN MODEL SENIOR SECONDARY SCHOOL,Isha Sharma,Senior Secondary,31/03/2022,"DERA BASSI SAS NAGAR,PAHARI GATE, NEAR ANAJ MANDI, DERA BASSI. ,140507","1762 ,281408",ishasai9@gmail.com,
1630643,AADESH INTERNATIONAL SCHOOL,RAJESHWAR PRASAD,Senior Secondary,31/03/2026,"V&PO LAKHINDER(MIANI) ,144304","1886 ,245220",rajeshwarkimothi@gmail.com,
1630896,AADHAR PUBLIC SCHOOL,BHUPAL SINGH CHANN,Secondary School,31/03/2023,"V.P.O BADRUKHAN ,148001","0167 ,220357",bhupalchann72@gmail.com,
1631185,AAKARSHAN PUBLIC SCHOOL,MRS. PARAS SHARMA,Senior Secondary,31/03/2022,"NATIONAL HIGHWAY NAROT JAIMAL SINGH TEHSIL & DISTRICT PATHANKOT (PUNJAB) ,145026",",01862269018",aakarshanpublic@yahoo.in,http://www.aakarshanpublicschool.org
2630067,AANCHAL INTERNATIONAL SCHOOL,Manju Sood,Secondary School,31/03/2024,"SECTOR 41-D ,160036","0172 ,2627628",m.sood264@gmail.com,
1630752,AC GLOBAL SCHOOL,MR. MARTIN ANTONY P,Secondary School,31/03/2025,"HULKA ROAD, BANUR, SAS NAGAR ,140601","91 ,9872462647",acglobalschool@gmail.com,http://acews.in/
1631286,ACADEMIC HEIGHTS PUBLIC SCHOOL,MRS. PARVEEN PAUL,Secondary School,31/03/2023,"V.P.O-CHAGRAN, CHANDIGARH ROAD ,146001",",9501931688",amitreetika2009@gmail.com,http://www.ahpshoshiarpur.com
1631111,ACADEMIC HEIGHTS PUBLIC SCHOOL KHOKHAR,MRS. RITU THAKUR,Senior Secondary,31/03/2022,"VILL KHOKHAR, PO GOBINDGARH ,148030","1676 ,01676278378,",ahpskhokhar@gmail.com,http://www.ahpslehragaga.com
1631287,ACADIA WORLD SCHOOL,MRS. RANJEET KAUR,Secondary School,31/03/2023,"NEAR SITASAR MANDIR, JAKHEPAL-BUDHLADA BYE-PASS ROAD ,148028",",9814035705",acadiaworldschool@gmail.com,http://acadiaworldschool.in
1630604,ACME PUBLIC SCHOOL,ARUNA MIDDHA,Senior Secondary,31/03/2025,"MUKTSAR ROAD, CHAK SAIDO KE JALALABAD WEST FEROZEPUR PUNJAB ,152024","1638 ,257444",acmepublic80@gmail.com,
1630983,ADARSH PUBLIC SCHOOL,AMITA BANSAL,Secondary School,31/03/2024,"KAPIL PARK, OPP.PINK FLATS,RAJPURA ROAD, HAIBOWAL KHURD ,141001","0161 ,2301722",amita.singla@hotmail.com,http://www.adarshpublicschoolludhiana.org
1630352,ADHARSHILA THE FOUNDATION,MISS RAJNI SOTA,Senior Secondary,31/03/2024,"# THE 4TH MILESTONE, PATIALA ROAD, VILL. BHADDAK, RAJPURA (PUNJAB) ,140401","1762 ,01762241813",atfschool@hotmail.com,http://www.aadharshilaschool.com
1630630,AGGARSAIN INTERNATIONAL PUBLIC SCHOOL,ANIRUDH GARG,Senior Secondary,31/03/2022,"NEAR O.B.C BANK, MAIN ROAD, SAMANA ,147101","1764 ,228495",anirudhsamana@gmail.com,
2630030,AIR FORCE REGIONAL SCHOOL,ROMELA JAIN,Secondary School,31/03/2025,"12-WING AIR FORCE STATION CHANDIGARH ,160003","011 ,23101",ganeshha@batelco.com.bh,
2630045,AIR FORCE SCHOOL,MRS KIRAN DATTA,Secondary School,31/03/2026,"SECTOR 31-D CHANDIGARH ,160047","011 ,25693777",apsdc@indiatimes.com,http://apsdelhicantt.org
1630040,AIR FORCE SCHOOL,KRISHAN GOPAL SHARMA,Senior Secondary,31/03/2025,"AIR FORCE STATION PATHANKOT PUNJAB ,145001","0288 ,4376 AF",v_raman2007@yahoo.co.in,http://www.cimpor.com
