Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
1931043,A A PUBLIC SCHOOL,MRS. S.GNANA JOTHI,Secondary School,31/03/2022,"17/8, ANDIAPPAN GRAMANI STREET, ROYAPURAM, CHENNAI ,600013",",04448595902",aapublicschool@gmail.com,
1930134,A J C ENGLISH SCHOOL,ANANDHAVALLI K,Secondary School,31/03/2022,"LAL BAHADUR SHASTRI ROAD KUMBAKONAM TAMIL NADU ,612001","0435 ,2420730",anandhiphysics@gmail.com,
130340 ,A K R G TECHNO SCHOOL,GUTTA PADMAJA,Secondary School,31/03/2022,"NALLAJERLA ,534112","818 ,277993",akrgschool@gmail.com,
1930516,A M PUBLIC SCHOOL,MRS. THAMAYANTHI S,Senior Secondary,31/03/2022,"NADUPATTI KADAYAMPATTI(TK) SALEM DISTRICT ,636351","4290 ,04290243578",ampublicschool12@gmail.com,http://www.ampublicschool.in
1930194,A++ NATIONAL SCHOOL,MRS T GOMATHI SINGH,Secondary School,31/03/2008,"ARIVOLI NAGAR, THIRUNALVELI ROAD THIRUCHENDUR, DISTT THOOTHUKUDI TAMIL NADU ,628215","04639 ,223344",,
830315 ,A.C. SHETTY MEMORIAL PRIMARY SCHOOL,B. Mahabaleshwara Udupa,Secondary School,31/03/2019,"ARDI ALBADY, KUNDAPURA TALUK, UDUPI DISTRICT KARNATAKA ,576212","08284 ,08259-285269, 08259-285369",nkmahajanca@yahoo.co.in,
1930235,A.K.T. MEMORIAL VIDYA SAAKET SCHOOL,S USHA KUMARI,Secondary School,31/03/2022,"NEELAMANGALAM VILLAGE KALLAKURICHI - POST, VILLUPURAM DISTT., TAMILNADU ,606202","4151 ,226655",principal.aktcbse@gmail.com,
1930354,A.R.J.  PUBLIC SCHOOL,KAVITHA S,Senior Secondary,31/03/2025,"THIRUMANKOTTAI MAIN ROAD, EDAYARNATHAM, MANNARGUDI -614001 ,614001","4367 ,223333",arjps@arj.edu.in,http://www.arj.edu.in
1930784,AAA INTERNATIONAL SCHOOL,MRS. A V BHUVANESWARI,Senior Secondary,31/03/2023,"828, A, S.N. PURAM ROAD, THIRUTHANGAL, SIVAKASI ,626130","0456 ,2228885",principalaaaittl@gmail.com,http://www.aaainternationalschool.com/
2930008,AATHMALAYAA MIDDLE SCHOOL,MRS. LAYAVARJITHA S,Senior Secondary,31/03/2024,"AATHMALAYAA NAGAR, SCHOOL ROAD, KEEZHZKASAKUDI, KARAIKAL - 609609. ,609609","4368 ,04368292002,",principal@aathmalayaa.in,http://www.aathmalayaa.in
1930238,ABACUS INTERNATIONAL MONTESSORI SCHOOL,JOSEPHINE MARIA PREMA,Senior Secondary,31/03/2025,"S.F.NO 516 MUDALI PALAYAM PIRIVU, PERUNTHOZHUVU ROAD, KANGAYAM ROAD ,641606","0421 ,3212321",principal@aimstirupur.com,http://www.aims_tirupur.edu.in
1930573,ABCS KENBRIDGE SCHOOL,RAVICHANDRAN S,Senior Secondary,31/03/2025,"TRICHY RAMESWARAM MAIN ROAD,NARANAMANGALAM POST,NEAR DEVIPATTINAM, RAMANATHAPURAM DIST ,623537","4567 ,259364",kenbridgeprincipal@gmail.com,
3630083,ABHAYA SCHOOL,L.SHAILAJA,Senior Secondary,31/03/2022,"GUNDLA POCHAMPALLY VILLAGE, NEAR APPAREL TEXTILE PARK, MEDCHAL MANDAL DIST, RANGAREDDY, ,500014","01734 ,08008222356",abhaya_school@yahoo.co.in,http://www.abhayaschool.in
