Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
3530239,5TH CENTENARY SCHOOL,RANA RANBIR SINGH,Secondary School,31/03/2026,"LALPUR KICHA, UDHAM SINGH NAGAR ,263148","5944 ,280785",rana.ranbir@yahoo.com,
3530329,A B C ALMA MATER,Khushal Singh,Secondary School,31/03/2020,"GURU GORAKHNATH MARG CHAMPAWAT ,262523","5965 ,211211",abcalma211211@gmail.com,
3530057,A B M PUBLIC SCHOOL,Ila Sharma,Senior Secondary,31/03/2022,"P O FATEHPUR HALDWANI DISTT NAINITAL UTTARANCHAL ,236139","5496 ,260147",sharmashashank6@gmail.com,
2132921,A M WORLD SCHOOL,MR. RAKESH KUMAR,Senior Secondary,31/03/2023,"MAULAGARH ,244412","0120 ,05921250380",amworldschool@gmail.com,WWW.AMWORLDSCHOOL.COM
2130858,A N INTERNATIONAL SCHOOL,DR SARJEET SINGH,Senior Secondary,31/03/2022,"NOOR PUR ROAD BIJNOR UTTAR PRADESH ,246701","1342 ,250303",an_international_school@yahoo.com,
3530480,A.N.D PUBLIC SCHOOL,MISS VIJAY LAXMI,Senior Secondary,31/03/2022,"HARIPUR KALAN NEAR HOTEL GODWIN MOTICHUR TEHSIL RISHIKESH ,249205","91 ,01352485584,",andps@yahoo.com,http://www.andps.in
2131561,AADHARSHILA  THE SCHOOL,SIDDHESH SHARMA,Senior Secondary,31/03/2023,"2 KM. DATTYANA ROAD, CHANDPUR, DISTT BIJNOUR, UTTAR PRADESH ,246725","1345 ,223331",Siddheshsharma01@gmail.com,
2131805,AARTI MEMORIAL PUBLIC SCHOOL,SURNDRA PAL SINGH,Senior Secondary,31/03/2023,"VILL+POST - RAJPUR CHHAJPUR KANDHALA MUZAFFARNAGAR ,247775","1392 ,260270",aartimemorial@yahoo.co.in,http://www.aratimemorial.com
2120027,ABHINAV VIDYALAYA KALUWALA PAHADIPUR,PRINCIPAL,Senior Secondary,31/03/2022,"BLOCK- MUZAFFARABAD , DISTT. SHARANPUR DIVISION SAHARANPUR UP ,246762",",",,
2120031,ABHINAV VIDYALAYA NARAYANPURDEVA,Dr  Abhishek Kumar Mishra,Senior Secondary,31/03/2022,"BLOCK BANIYAKHERA, DISTT. MADABAD, DIVISION MADABAD UP ,203131","91 ,81911010117",abhishekkmisra@gmail.com,
3530591,ACACIA PUBLIC SCHOOL,MRS. MAMTA RAWAT,Secondary School,31/03/2024,"NATHANPUR, P.O .NEHRU GRAM, DEHRADUN ,248001",",9412914136",acaciaschool97@gmail.com,www.acaciapublicschool.in
2131837,ACADEMY OF MODERN LEARNING,Shahzeb Akhtar,Secondary School,31/03/2022,"GUNNAUR, DISTT. SAMBHAL ,243722","5836 ,233018",shahzebakhtar@academyofmodernlearning.com,http://www.xyz.com
3530446,ACHARYA RAVINDRA PUBLIC SCHOOL,MR. VINOD KUMAR PANDEY,Senior Secondary,31/03/2026,"ACHARYA RAVINDRA PUBLIC SCHOOL HALDUCHAUR ,263139","0 ,919927855100",arpschoolhalduchaur@gmail.com,http://arpschool.wordpress.com/
3530430,ACHARYAKULAM,SUBRATA KUNDU,Senior Secondary,31/03/2026,",249405","1334 ,273021",principal@acharyakulam.org,http://www.acharyakulam.org
3530360,ACHIVERS HOME PUBLIC SCHOOL,SHYAMAL SARKAR,Senior Secondary,31/03/2023,"VILLAGE JAGJEETPUR POST KANKHAL DISTT HARIDWAR ,249408","1334 ,7055111456",achievershome2008@gmail.com,
2132761,ACME GLOBAL SCHOOL,MRS. GARIMA THAKKAR,Senior Secondary,31/03/2022,"247001 ,247001",",0132776620",acmeschool07@yahoo.com,http://www.acmegs.in
2130807,ADAM & EVES CONVENT SCHOOL,M S SIDDIQUI,Senior Secondary,31/03/2025,"PEERZADA ROAD GAL SHAHEED MADABAD UP ,244001","0 ,9917464007",mssid2004@yahoo.co.in,
3530022,ADARSH BAL NIKETAN SENIOR SECONDARY SCHOOL,Kawaljit Kaur,Senior Secondary,31/03/2023,"IIT CAMPUS ROORKEE UTTARANCHAL ,247667","1332 ,285787",abniit.2008@gmail.com,
3530420,ADARSH VIDYA NIKETAN,VANDANA KUKRETI,Senior Secondary,31/03/2025,"HALDUKHATA TALA KOTDWARA, ,246149","1382 ,242156",avnschoolkotdwar@gmail.com,
3530297,"ADHYA SHANKARACHARY SHIKSHA SANSTHAN DADA DHALUMAL LOKUMAL, TANUMAL JUNIOR HIGH SCHOOL.",Diwakar Prasad Semwal,Secondary School,31/03/2024,"NIM, ROAD, JOSHIYARA, UTTARKASHI ,249193","0137 ,4224081",diwakarsemwal.om@gmail.com,
2130372,AIR FORCE SCHOOL,B RICHARD,Secondary School,31/03/2025,"AFS SARSAWA SAHARANPUR UTTAR PRADESH ,247232",",746040",,
2133636,AKAL ACADEMY TELIPURA,MRS. MANJEET KAUR RIAR,Secondary School,31/03/2023,"AKAL ACADEMY TELIPURA, VILLAGE TELIPURA, P.O.CHOUKHANDI (VIA KASHIPUR), TEHSIL TANDA, DISTRICT RAMPUR (UTTAR PRADESH) - 244713 ,244713",",9875987332",KHEMSG@YAHOO.CO.IN,
2132797,AKSH INTERNATIONAL SCHOOL,MR. SOHEL ALAM,Senior Secondary,31/03/2022,"VILL RAJA KA TAJPUR POST RAJA KA TAJPUR ,246735","1345 ,9761662121",aistajpur@gmail.com,
2132924,AKSHARA PUBLIC SCHOOL,Mr.Lakhmi Chand Verma,Secondary School,31/03/2020,"VILLAGE+POST- PAPSARA, DISTT-AMROHA ,244221",",09719195724",aksara.amr@gmail.com,
2132213,AL-HAFEEZ EDUCATIONAL ACADEMY,MR. MOHD  SHAKEEL  SUBHANI,Senior Secondary,31/03/2023,"BABRALA ROAD ,243638","0091 ,9997060339",alhafeez2011@gmail.com,http://www.alhafeezacademy.com/
3530187,ALAKASHYA PUBLIC SCHOOL,BHUWAN CHANDRA JOSHI,Senior Secondary,31/03/2022,"TANAKPUR ROAD AMOUN KHATIMA DISTT UDHAM SINGH NAGAR UTTRANCHAL ,464002","5943 ,253619",bhuwancamaraderie@gmail.com,
3530311,ALCHEMIST ACADEMY,VICTOR IVAN,Secondary School,31/03/2022,"KHETALSANDA KHAM, KHATIMA, U.S.NAGAR ,262308","5943 ,9410362757",alchemistse@rediffmail.com,
2132809,ALL SAINT SCHOOL,NAGMA RAIS,Secondary School,31/03/2025,"KALAGARH ROAD, SHERKOT, DISTT. BIJNOR, U.P. ,246747","1344 ,245200",WWW.ALLSAINTSCHOOLSHERKOT2004@GMAIL.COM,
2130851,ALPINE PUBLIC SCHOOL,SHAKEEL AHMED,Senior Secondary,31/03/2022,"CHILKANA ROAD SAHARANPUR UTTAR PRADESH ,247001","0132 ,9219441346",mailmeshakeelahmed@gmail.com,http://www.bbbethania.org
2133710,"ALPINE VIDHYAPEETH,NANAUTA",MR. PANKAJ KANSAL,Senior Secondary,31/03/2024,"BEHIND SHIVANG CITY,DELHI-SAHARANPUR HIGHWAY NANAUTA ,110093",",9837472811",sandeep_sml@rediffmail.com,www.alpinevidhyapeeth.com
3530284,AMAR MEMORIAL PUBLIC SCHOOL,Sikandar Khan,Senior Secondary,31/03/2026,"HALDWANI ROAD NAYAGAON,P.O.DHAMOLA ,263139","5947 ,287395",amps277.2009@gmail.com,http://www.amarmemorialpublicschool.com
2133130,AMBIENCE ACADEMY,MRS. RITIKA MAHAJAN,Senior Secondary,31/03/2024,"MUZAFFARNAGAR ROAD, BHALEDI, JANSATH DISTT. MUZAFFARNAGAR ,251314",",9690890003",ambienceacademyjansath@gmail.com,http://www.ambienceacademy.in/
3530413,AMBITION PUBLIC SCHOOL,Vishnu Dutt,Senior Secondary,31/03/2025,"GURUKUL NARSAN ROAD, TOWN/POST- JHABRERA, DISTRICT- HARIDWAR, UTTARAKHAND PIN- 247665 ,247665","0133 ,2224343",ambitionschool.jhb@gmail.com,http://www.ambitionschool.com
3530193,AMENITY PUBLIC SCHOOL,INDRA TRIPATHI,Senior Secondary,31/03/2026,"6 MILE STONE KASHIPUR ROAD RUDAR PUR U S NAGAR UTTRANCHAL ,","5944 ,261805",tripathijaya31@gmail.com,
3530107,ANAND SWAROOP ARYA SARAWASTI VIDYA MANDIR,RAJIV GUPTA,Senior Secondary,31/03/2023,"VILLAGE ASAF NAGAR PERGANA AND TEHSIL ROORKEE DELHI ROAD, ROORKEE HARIDWAR UTTARAKHAND. ,248002","1332 ,9219413122",APOORVASU10@REDIFFMAIL.COM,
3530361,ANAND VALLEY SCHOOL,NAHID RAZA,Senior Secondary,31/03/2023,"KAUSANI ROAD, SOMESHWAR ,263637","5962 ,243101",anandvalleyschoolsom@gmail.com,
3530495,ANANDI ACADEMY,MR. GAURAVE PANT,Senior Secondary,31/03/2023,"VILLAGE- GHIROLI PO.-GHIROLI ,263642","5963 ,05963221808",anandiacademy.bgr@gmail.com,http://anandiacademy.in
