Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
2778036,A R S D SR SEC SCHOOL,PIYUSH CHANDRA,Senior Secondary,31/03/2023,"AJMERI GATE DELHI ,110006","011 ,232375556",arsd2127079@gmail.com,
2778041,A S V J SR SEC SCHOOL,Gajay Singh,Senior Secondary,31/03/2021,"DARYAGANJ NEW DELHI ,110002","011 ,23271636",asvj2127080@yahoo.co.in,
2730847,A-ONE INTERNATIONAL PUBLIC SCHOOL,MRS. REKHA BHATT,Secondary School,31/03/2023,"B-BLOCK, INDER ENCLAVE, PHASE-II, DELHI-110086 ,110086",",9312658395",aoneinternationalpublicschool@gmail.com,
2730494,AADHARSHILA VIDYAPEETH,BYOMAKESH MISHRA,Senior Secondary,31/03/2026,"CD BLOCK PITAM PURA DELHI ,110088","011 ,27316362",avprincipal34@gmail.com,www.aadharshilavidyapeeth.org
2730717,AAKASH INTERNATIONAL SCHOOL,MRS. PRATIBHA GUPTA,Senior Secondary,31/03/2024,"G-2 BLOCK, JAI VIHAR,NANGLOI ROAD, NAJAFGARH ROAD, ,110043",",9958640830",aakashpublicschool@gmail.com,http://www.aakashinternationalschool.co.in
2730439,ABHINAV PUBLIC SCHOOL,RAJESH SHARMA,Secondary School,31/03/2022,"SECTOR 3, ROHINI DELHI ,110085","011 ,27512199",aps.1986@yahoo.co.in,http://www.dpsfamily.org
2730442,ABHINAV PUBLIC SCHOOL,SAROJ,Senior Secondary,31/03/2022,"CU-BLOCK PITAMPURA, DISTT NORTH WEST DELHI, DELHI ,110088","011 ,27344148",aps_2003@yahoo.co.in,
2730790,ADARSH GYAN SAROVER BALIKA VIDYALAYA,MRS. UMA CHATURVEDI,Secondary School,31/03/2025,"ADARSH GYAN SAROVER BALIKA VIDYALAYA, GAMRI,5TH PSUTA GAMRI ,110053",",9990727283",agsbv99@gmail.com,www.agsbv.in
2730603,ADARSH LAKHPAT MODEL SEC SCHOOL,CHIRAG CHAUDHARY,Secondary School,31/03/2022,"E-25, KHAJURI KHASH, DAYAL PUR ROAD, ,110094","011 ,22963999",adarshlakhpat2001@gmail.com,
2730119,ADARSH PUBLIC SCHOOL,Mrs. Pooja Malhotra,Senior Secondary,31/03/2024,"C-BLOCK VIKAS PURI, DISTT WEST DELHI, NEW DELHI ,110018","011 ,28543300, 28544400",adarshpublicschool@hotmail.com,
2776017,ADARSH SEC SCHOOL,SADHNA BHARDWAJ,Secondary School,31/03/2021,"D-BLOCK VIKAS PURI NEW DELHI ,110018","011 ,28537799",jha.ranjan@yahoo.com,
2770010,ADARSH SR SEC SCHOOL,RAMPATI,Senior Secondary,31/03/2025,"G T RAOD LIBASPUR DELHI ,110042","011 ,27835110",adarshssschoollibaspur42@gmail.com,
2730737,ADRIEL HIGH SCHOOL,POONAM LEEKHA,Senior Secondary,31/03/2026,"POCKET2 SECTOR24 ROHINI ,110085","011 ,27933377",principal.adrielhigh@gmail.com,http://www.adrielhighschool.in
2778047,AKALI BABA PHOOLA SINGH KHALSA,SUNITA JAIN,Senior Secondary,31/03/2021,"SR SEC SCHOOL RAJINDER NAGAR NEW DELHI ,110060","011 ,25868382",ABPS_KHALSASSS@REDIFFMAIL.COM,
2730475,AKASH MODEL SCHOOL,MRS. GEETA RANI,Senior Secondary,31/03/2024,"BALJEET VIHAR, NITHARI EXTN., DELHI-110086 ,110086","011 ,9811088324",akashschoolrana@gmail.com,http://www.akashmodelschool.in
2772012,ALOK PUNJ SEC SCHOOL,NARESH PAL,Secondary School,31/03/2016,"KARAWAL NAGAR DELHI ,110094","011 ,22934565",npal1961@gmail.com,
2776013,ANDHRA EDN SOCIETY SR SEC SCHOOL,E ANITHA,Senior Secondary,31/03/2021,"B3 BLOCK JANAKPURI NEW DELHI ,110058","011 ,25595488",aesjp2006@yahoo.co.in,
2778055,ANDHRA EDU SOCIETY SR SEC SCHOOL,B DHANA LAKSHMI,Senior Secondary,31/03/2022,"PRASAD NAGAR NEW DELHI ,110005","011 ,05723372",principalaesprasadnagar@gmail.com,
2778034,"ANDHRA EDUCATION SOCIETY,",K DURGA,Senior Secondary,31/03/2023,"DR. DURGABAI DESHMUKH MEMORIAL SR. SEC. SCHOOL, DDU MARG, ROUSE AVENUE, NEW DELHI-110 002 ,110002","011 ,23238497",kandukuridurga@yahoo.com,
2730668,ANGLO ARABIC MODEL SCHOOL,FARAH SAJID,Secondary School,31/03/2024,"AJMERI GATE, DELHI.2 ,110006","011 ,23210863",aams96@gmail.com,
2778035,ANGLO ARABIC SR SEC SCHOOL,FAZLE ALAM,Senior Secondary,31/03/2021,"AJMERI GATE DELHI ,110006",",2522714",ssdps_nn@yahoo.in,
2730184,APEX PUBLIC SCHOOL,DEREK RICHARD BRENDISH,Senior Secondary,31/03/2022,"APEX AVENUE SANT NAGAR (BURARI), DISTT NORTH DELHI, DELHI ,110009","011 ,27617750",derekbrendish@gmail.com,http://www.prashantigurukulam.org
2730259,APPEJAY SCHOOL,DILIP KUMAR BEDI,Senior Secondary,31/03/2022,"SAINIK VIHAR ROAD NO 42 PITAM PURA, DISTT NORTH WEST DELHI, DELHI ,110034","011 ,27022140",principalbedi@gmail.com,
2730424,ARISTOTALE PUBLIC SCHOOL,Radha Bhardwaj,Senior Secondary,31/03/2026,"QUTAB GARH MAIN BUS STAND QUTAB GARH DELHI ,110039","011 ,27741529",kdbhardwaj.school@gmail.com,
2730438,ARUN MODERN PUBLIC SCHOOL,MRS JYOTI RANI,Senior Secondary,31/03/2025,"D-1 MAIN ROAD BRIJ PURI, DISTT NORTH EAST DELHI, DELHI ,110094","011 ,22567874",shashisms@gmail.com,
2730224,ARVIND GUPTA D A V CENTENARY PUBLIC SCHOOL,MALA SOOD,Senior Secondary,31/03/2024,"MODEL TOWN BEHIND POLICE HQTS DELHI ,110009","011 ,27455245",principal@agdav.edu.in,
2788007,ARYA GIRLS SR SEC SCHOOL,Ms. Namita Arora,Senior Secondary,31/03/2025,"TELIWARA DELHI ,110006","011 ,23614670",asha.chhabra1234@gmail.com,
2788034,ARYA GIRLS SR SEC SCHOOL,RAJ KUMARI,Senior Secondary,31/03/2024,"RAHGARPURA KAROL BAGH NEW DELHI ,110005","011 ,25818412",agsss8078@gmail.com,
2788011,ARYA SAMAJ GIRLS SR SEC SCHOOL,ARCHANA AGGARWAL,Senior Secondary,31/03/2021,"CHAWRI BAZAR DELHI ,110006","011 ,23268046",id_2127083@yahoo.co.in,
2778030,ATAL ADARSH BAL VIDYALYA,Narender Kumar Kataria,Senior Secondary,31/03/2025,"MANDIR MARG NEW DELHI ,110001","011 ,23363629",srisolu62@gmail.com,
2788021,ATAL ADARSH BALIKA VIDYALYA,MUKTA SINGH,Senior Secondary,31/03/2025,"GOLE MARKET NEW DELHI ,110001","011 ,23743701",,
2788022,ATAL ADARSH BENGALI BALIKA VIDYALAYA,JAYA SREE BASU,Senior Secondary,31/03/2025,"GOLE MARKET NEW DELHI-110001 ,110001","011 ,23744090",,
2778070,ATAL ADARSH VIDYALYA,DINESH KUMAR TANWAR,Secondary School,31/03/2022,"SANGLI MESS, NEW DELHI ,110001","011 ,23383403",tanwar.dinesh1966@gmail.com,
2778069,ATAL ADARSH VIDYALYA,BISHUN RAM,Secondary School,31/03/2022,"BABAR ROAD NEW DELHI ,110001","011 ,23358337",ndmc.secschbbrrd@gmail.com,
2788044,ATAL ADARSH VIDYALYA,SURESH CHANDRA,Senior Secondary,31/03/2024,"HAVLOCK SQUARE NEW DELHI ,110001","011 ,23366714",sureshmeena965@gmail.com,
2788040,ATAL ADARSH VIDYALYA,SHYAM SUNDER,Secondary School,31/03/2021,"BALMIKI BASTI, NEW DELHI ,110001","011 ,23367030",blk.m@ndmcmail.gov.in,
2778045,ATAL ADARSH VIDYALYA,NAVIN CHANDRA JOSHI,Senior Secondary,31/03/2022,"TILAK MARG NEW DELHI ,110001","011 ,23382635",tlk.s@ndmcmail.gov.in,
2730353,AUROBINDO PUBLIC SCHOOL,ms janak mehra,Secondary School,31/03/2024,"BUDH VIHAR DELHI ,110041",",27916608",,
2788016,B D ARYA GIRLS SR SEC SCHOOL,NAVITA MANGLA,Senior Secondary,31/03/2023,"BAZAR SITA RAM DELHI ,110006","011 ,23231602",navita_mangla@yahoo.co.in,
2730441,B M BHARTI MODEL SCHOOL,MRS. NEETA KUMARI,Senior Secondary,31/03/2026,"VILLAGE MAJRI PO KARALA DELHI ,110081","011 ,25950500,",nkmahajanfca@gmail.com,
2788001,B M GANGE GIRLS SR SEC SCHOOL,MEENAKSHI MERCY PHILIP,Senior Secondary,31/03/2024,"21 RAJ NIWAS MARG DELHI ,110054","011 ,23968664",62meenakshi@gmail.com,
2788037,B N RASTOGI GIRLS SR SEC SCHOOL,kshem rustgi,Senior Secondary,31/03/2018,"BHAGIRATH PALACE DELHI ,110006","011 ,22966497",,
2788003,B P JAIPURIA GIRLS SR SEC SCHOOL,PREM HANDOO,Senior Secondary,31/03/2019,"25 RAJPUR ROAD DELHI ,110054","011 ,22522812",,
2730491,B R PUBLIC SCHOOL,MRS. NIRMAL YADAV,Secondary School,31/03/2024,"EXT 2 C NANGLOI NEW DELHI ,110041","011 ,2547062,",jaincomputerwala@gmail.com,http://www.brps.in
2730286,B R TYAGI PUBLIC SCHOOL,MAYA TYAGI,Senior Secondary,31/03/2025,"PHASE-II SECTOR 24, BUDH VIHAR DELHI ,110086","0 ,27535949",mayatyagi2@gmail.com,
2730425,B V M MODEL SCHOOL,KANTA DEVI,Senior Secondary,31/03/2025,"B 245 RAJIV NAGAR BEGUMPUR, DISTT NORTH WEST DELHI, DELHI ,110041","011 ,27582741",principlebvmschool@gmail.com,
2730851,B.R. INTERNATIONAL SCHOOL,MRS. NATASHA CHAUDHARY,Senior Secondary,31/03/2024,"MAIN QUTABGARH ROAD, MUNGESHPUR, DELHI - 110039 ,110039",",9811755706",brinternationalschool2016@gmail.com,www.brisdelhi.in
2730772,B.S. INTERNATIONAL SCHOOL,MRS. ANITA SHOKEEN,Senior Secondary,31/03/2022,"PLOT NO. 26, DALIP VIHAR, NILOTHI EXTN., DELHI - 110041 ,110041",",9811120850,",nkmahajanfca@gmail.com,
2730658,B.S.M. PUBLIC SCHOOL,Neetu,Senior Secondary,31/03/2026,"BALJIT VIHAR, NITHARI EXTN., NANGLOI, ,110041","0128 ,01125475436",nkmahajanca@yahoo.co.in,
2760009,BABA NANNE NATH GOVT SARVODAYA KANYA,MEENAKSHI KOHLI,Senior Secondary,31/03/2025,"VIDYALAYA KHERA KALAN DELHI ,110082","011 ,27843014",bnn1310039skv@gmail.com,http://www.kdispilkhuwa.com
2768036,BABA RAM DEV GOVT. SARVODAYA GIRLS,RANJU AILAWADI,Senior Secondary,31/03/2021,"SR SEC. SCHOOL PRASAD NAGAR NEW DELHI ,110005","011 ,25713700",brdskvprasadnagar212@gmail.com,
2778026,BABA SAHEB AMBEDKAR SEC SCHOOL,RAJBAR SINGH BHANDARI,Secondary School,31/03/2024,"RANI JHANSI ROAD NEW DELHI ,110055","011 ,23531925",Rajbar67@gmail.com,
2730045,BAL BHARATI PUBLIC SCHOOL,L V SEHGAL,Senior Secondary,31/03/2019,"SIR GANGARAM HOSPITAL MARG RAJINDER NAGAR NEW DELHI ,110060","011 ,25786897",lvsehgal@hotmail.com,bbpsgr@hotmail.com
2730162,BAL BHARATI PUBLIC SCHOOL,MEENU GOSWAMI,Senior Secondary,31/03/2024,"PITAMPURA, DISTT NORTH WEST DELHI, DELHI ,110034","011 ,27028600",ppbbps@hotmail.com,http://www.xyx.com
2730282,BAL BHARTI PUB SCHOOL,GEETA GANGWANI,Senior Secondary,31/03/2023,"SECTOR 14 ROHINI DELHI ,110085","011 ,27554563",geeta29nov@yahoo.com,
2730418,BAL VIDYA MANDIR MODEL SCHOOL,SH BHOOP SINGH,Secondary School,31/03/2022,"POOTH KALAN NEAR ROHINI SECTOR 20 DELHI ,110041","0121 ,25185938",,
2730677,BAL VIDYA MODEL SCHOOL,MRS. SAVITA,Senior Secondary,31/03/2024,"B-247, LAXMI PARK, NANGLOI ,110041","05943 ,9811230325",bvss8857@gmail.com,
2730148,BANASTHALI PUBLIC  SCHOOL,KM INDU PRIYA DARSHANI,Senior Secondary,31/03/2025,"H-1/149 VIKASPURI, DISTT WEST DELHI, NEW DELHI ,110018","011 ,25590912",apsdc@indiatimes.com,http://apsdelhicantt.org
2788008,BANSIDHAR MEMORIAL GIRLS SR SEC SCH,Kusum Lata,Senior Secondary,31/03/2018,"PAHARI DHIRAJ DELHI ,110006","011 ,23550247",Kusumlata87569@gmail.com,
2778056,BAPU ADARSH SEC VIDYALAYA,MRS ASHA KADAM,Secondary School,31/03/2023,"R BLOCK NEW RAJINDER NAGAR NEW DELHI ,110060","011 ,28745471",bapuadarshindia@gmail.com,
2778003,BENGALI SR SEC SCHOOL,RAMA MAZUMDER,Senior Secondary,31/03/2020,"22-A ALIPUR ROAD DELHI ,110054","011 ,23967864",rama.mazumder452@gmail.com,
2730849,BHAGAT INTERNATIONAL SCHOOL,MRS. KAVITA,Secondary School,31/03/2023,"KH. NO. 26/8, MOHAMAD PUR MAJRI, RAMA VIHAR, DELHI, 110081 ,110081",",9999099052",bhagat.intlschool@gmail.com,http://www.bhagatinternationalschool.com
2730472,BHAGATI JI MEMORIAL MODEL SCHOOL,JAI PRAKASH,Secondary School,31/03/2023,"34/8/1 YAMUNA ROAD PALLA DELHI ,110036","011 ,27722130",bmms.principal@gmail.com,
2776010,BHAI BIBA SINGH KHALSA SR SEC SCH,I P Kaur,Senior Secondary,31/03/2022,"MOTI NAGAR NEW DELHI ,110015","011 ,9899337276",princibbskhalsa@gmail.com,
2786003,BHAI JOGA SINGH KH GIRLS SR SEC SCH,ANITA GUJRAL,Senior Secondary,31/03/2022,"EAST PATEL NAGAR NEW DELHI ,110008","011 ,25883297",anitagujral1961@gmail.com,
2730145,BHAI JOGA SINGH PUBLIC SCHOOL,Harinder Pal Singh,Senior Secondary,31/03/2024,"D 4 FAIZ ROAD KAROL BAGH, DISTT CENTRAL DELHI, NEW DELHI ,110005","011 ,23611058",harinder183@yahoo.com,
2730293,BHARAT MATA SARASWATI BAL MANDIR,SHARDA DIXIT,Senior Secondary,31/03/2025,"BAWANA ROAD NARELA DELHI ,110040","011 ,27285165",naresh04061975@gmail.com,
2730011,BHARATIYA VIDYA BHAVAN'S MEHTA,Anju Tandon,Senior Secondary,31/03/2024,"VIDYALAYA KASTURBA GANDHI MARG NEW DELHI ,110001","011 ,23384881",principal@bvbmehtavidyalaya.org,airfcebalbharatischool.com
2730659,BHARDWAJ MODEL SCHOOL,NEERU SHARMA,Secondary School,31/03/2024,"RZ-Q-88, NIHAL VIHAR, NORTH WEST DELHI ,110041","011 ,65164123",bhardwajmodelschool88@gmail.com,
2730694,BHARTI VIDYA NIKETAN PUBLIC SCHOOL,mrs.jyoti kiran,Senior Secondary,31/03/2022,"A-26, RANJEET VIHAR, CHANDER VIHAR, ,110041","0884 ,01132584022",nkmahajanfca@gmail.com,
2730711,BHATNAGAR INTERNATIONAL SCHOOL,Vina Sharma,Senior Secondary,31/03/2023,"BHERA ENCLAVE, PASCHIM VIHAR, ,110087","011 ,25262188",vinasharma26@yahoo.in,
2752012,BHISHAM PITAMAH GOVT. SARVODAYA BOYS,PRAMOD KUMAR,Senior Secondary,31/03/2023,"S S S B BLOCK NAND NAGRI DELHI ,110093","011 ,22575804",,
2788041,BIRLA ARYA GIRLS SR SEC SCHOOL,SUNITA KHURANA,Senior Secondary,31/03/2021,"BIRLA LINES KAMLA NAGAR DELHI ,110007","011 ,23840219",bagssskamlanagar1207135@gmail.com,
2778063,BIRLA SR SEC SCHOOL,R D GUPTA,Senior Secondary,31/03/2025,"KAMLA NAGAR (BIRLA LINES) DELHI ,110007",",27281546",,
