Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
2730203,A S N SR SEC SCHOOL,Sonia Luthra,Senior Secondary,31/03/2023,"NOIDA ROAD MAYUR VIHAR, DISTT EAST DELHI, DELHI ,110091","011 ,22713040",principal@asnschool.org,
2730733,AAKASH PUBLIC SCHOOL,Mrs.NEENA GUPTA,Senior Secondary,31/03/2024,"B-32,ISHWAR COLONY, ARJUN PARK, ,110043",",011-25324555",rajeshrameshwar.ca@gmail.com,
2730641,AARYAN INTERNATIONAL SCHOOL,Sarita,Senior Secondary,31/03/2026,"320-321, OM VIHAR, PHASE-I, METRO PILLAR NO. 706, UTTAM NAGAR ,110059",",011-64632062",nkmahajanca@yahoo.co.in,
2730805,ABHINAV GLOBAL SCHOOL,MRS. VANDANA KUMARI,Senior Secondary,31/03/2026,"DWARKA, SECTOR-13 ,110078",",01128036901",agsdwarka2014@gmail.com,http://www.agsdwarka.com
6630004,ABU DHABI INDIAN SCHOOL,Neeraj Bhargava,Senior Secondary,31/03/2022,"PO BOX 46492 ABU DHABI U A E C/O FIRST SECY EMBASSY OF INDIA ABU DHABI U A E ,","9712 ,4488025",adiscbse@emirates.net.ae,www.davalampur.co.in
6630083,"ABU DHABI INDIAN SCHOOL, BRANCH 1",SHIBANTI BHOWMIK,Senior Secondary,31/03/2025,"P.O.BOX 79803 AL WATHBA, ABU DHABI, U.A.E ,000000","0971 ,25831991",principal@adiswathba.com,http://www.adiswathba.com/
2754041,ACHARYA TULSI GOVT.SARVODAYA BOYS SR,Kedar Singh Burfal,Senior Secondary,31/03/2021,"SCHOOL CHATTARPUR MEHRAULI NEW DELHI ,110030","011 ,26804615",atsbv1923081@gmail.com,
2730229,ADARSH JAIN DHARMIC SHIKSHA SADAN,MANJU,Senior Secondary,31/03/2025,"THANA ROAD NAJAFGARH NEW DELHI ,110043","011 ,28010740",vjain_mgs@rediffmail.com,
2730445,ADARSH PUBLIC SCHOOL,POONAM RANI,Secondary School,31/03/2023,"SHYAM ENCLAVE DEENPUR NAJAFGARH NEW DELHI ,110042","011 ,25011862",adarshpublicschool.deenpur@gmail.com,
2730839,ADARSH SHRI RAM VIDYA MANDIR,MRS. PINKI DEVI,Secondary School,31/03/2023,"CHETAN VIHAR, GOPAL NAGAR, NEAR RAIL FACTORY, GOPAL NAGAR EXTN., NAJAFGARH, NEW DELHI-110043 ,110043",",9971832804",asrvmps@gmail.com,www.asrvmps.com
