Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
230117 ,ABANTI KUMAR MAHANTA EDUCATIONAL INSTITUTION,SUMA MOHANTA,Secondary School,31/03/2026,"LAXMI BAZAR ROAD ,788710","3843 ,267817",Principal@akmei.edu.in,
2230014,ABOTANI VIDYA NIKETAN,SUKUMARAN K,Secondary School,31/03/2023,"PACHIM COLONY NAHARLAGUN ARUNACHAL PRADESH ,791110","0943 ,6090938",kelothsuku@gmail.com,www.sairnsacademy.org
220004 ,ADARSH VIDYALAYA,.,Secondary School,31/03/2022,"VILLAGE KADAMTOLA GOPALPUR, P.O. DALGOMA,P.S. MATIA, DISTT. GOALPARA, ASSAM-783125 ,",",0496 - 2623804",qybhavan@yahoo.co.in,
220005 ,ADARSH VIDYALAYA,.,Secondary School,31/03/2019,"MANDIA, VILLAGE 2 NO. BDALANI,P.O. MANDIA, P.S. BAGHBAR, DISTT. BARPETA ASSAM-781308 ,",",0496 - 2623804",qybhavan@yahoo.co.in,
220015 ,ADARSH VIDYALAYA,.,Secondary School,31/03/2022,"MOIRABARI, VILLAGE MOIRABARI TOWN KISAMAT, P.O. + P.S.MOIRABARI, DISTT. MIGAON ASSAM-782126 ,530027","0891 ,2559519",msmoirabari@gmail.com,
220014 ,ADARSH VIDYALAYA,.,Secondary School,31/03/2022,"PAKABETBARI , VILLAGE PHULARGURI, P.O. KAYAKUCHI,DISTT. BARPETA, ASSAM-781352 ,673323",",0496 - 2623804",qybhavan@yahoo.co.in,
220003 ,ADARSH VIDYALAYA,.,Secondary School,31/03/2022,"VILLAGE ALOICHERRA, P.O. MANIPUR BAGAN, DISTT. HAILAKANDI-788165 ,","011 ,26870393",kp_vohra@yahoo.co.in,
220002 ,ADARSH VIDYALAYA DAHALAPARA,.,Middle Class,31/03/2023,"RUPSI-PT. VILLAGE DAHALAPARA, P.O. BHULUKADABA, DISTT. BARPETA-781317 ,","011 ,26870393",kp_vohra@yahoo.co.in,
220006 ,ADARSH VIDYALAYA DALIMBARI,.,Secondary School,31/03/2022,"VILLAGE DALIMBARI, P.O. GOSHPARA, DISTT. WEST KARBI ANGLONG-782425 ,673323",",0496 - 2623804",qybhavan@yahoo.co.in,
220009 ,"ADARSH VIDYALAYA,",.,Secondary School,31/03/2022,"RANGAPATHER , VILLAGE RANGAPATHER,P.O. SUFFRY, DISTT. CHARAIDEO ,804401","011 ,26870393",kp_vohra@yahoo.co.in,
220013 ,"ADARSH VIDYALAYA,",.,Secondary School,31/03/2022,"CHENGA VILLAGE CHENGA MUSALMAN GAON, P.O. CHENGA, P.S. TARABARI, DISTT. BARPETA, ASSAM-781305 ,",",",,
220010 ,"ADARSH VIDYALAYA,",.,Secondary School,31/03/2022,"GANAKKUCHI, BARPETA, VILLAGE & P.O. GANAKKUCHI, DISTT. BARPETA, ASSAM-781314 ,",",",,
220011 ,"ADARSH VIDYALAYA,",.,Secondary School,31/03/2022,"DOKUCHI, VILLAGE PALAHATARI, P.O. NAGARBERA, P.S. NAGARBEG, DISTT. KAMRUP(RURAL), ASSAM-781127 ,",",",,
220007 ,"ADARSH VIDYALAYA,",.,Secondary School,31/03/2022,"BATADRAVA, VILLAGE SAHARIA, P.O. SONARIGAON, DISTT. NAGAON, ASSAM-782123 ,",",",,
220012 ,"ADARSH VIDYALAYA,",.,Secondary School,31/03/2022,"LOWAIRPOA, VILLAGE & P.O.CHANDKHIRA, DISTT. KARIMGANJ, ASSAM-788725 ,",",",,
220008 ,"ADARSH VIDYALAYA, BARAKHETRI",.,Secondary School,31/03/2022,"VILLAGE KALDI, P.O. BARTALA, DISTT. NALBARI ASSAM-781138 ,",",",,
230004 ,AIR FORCE SCHOOL,MRS VEENA DUTT,Senior Secondary,31/03/2022,"JORHAT DT- JORHAT ASSAM ,785005","011 ,320418/",kv_dwarka12@rediffmail.com,
230259 ,AIR FORCE SCHOOL CHABUA,MISS PRATITY BORPUJARI,Middle Class,31/03/2024,"AIR FORCE SCHOOOL CHABUA AIR FORCE STATION CHABUA CHABUA ,786102",",03732863791",afscadm@yahoo.com,afschoolchabua.in
230094 ,AIR FORCE SCHOOL TEZPUR,SHVETA S RATTANI,Middle Class,31/03/2013,"NO. 11 WING C/O 99 A P O ,784104","08548 ,03712 ;258622",afschooltezpur@gmail.com,
230261 ,ALL SAINTS DIOCESAN SCHOOL,MRS. JANE PIO,Secondary School,31/03/2024,"WARD NO- 8, OLD MISSION COMPOUND ,784001",",03712232005",asdst2015@gmail.com,www.asdstezpur.org
1230042,ALPHA BCI MEMORIAL ACADEMY,ROMILA SHIJA,Senior Secondary,31/03/2026,"THANGMEIBAND HIJAM DEWAN LEIKAI ,795004","0385 ,2415391",romilashija2016@gmail.com,http://www.albim.academy.com
