Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
2133543,A V P INTERNATIONAL SCHOOL,MRS. SHASHI P.MASIH,Senior Secondary,31/03/2024,"VILL- SINDHOLLI G. T.ROAD,ALIGARH UP ,202001",",9193700222",avpinternationalschool22@gmail.com,http://www.avpinternationalschool.com
2133105,A.D. INTERNATIONAL SCHOOL,Mrs.Tapasi Das,Secondary School,31/03/2021,"KAKRARI,KAKUA DEORI ROAD AGRA UP ,282000",",0562-2214467",adinternationalschooll@gmail.com,http://www.adis.com
2131728,A.K CHILDREN ACADEMY,Tanusri Bhattacharya,Senior Secondary,31/03/2025,"MTI ROAD, RAJ NAGAR EXTENSION ,201003","0 ,9818724927",tanusri.b@gmail.com,
2133408,AASTHA ELITE PUBLIC SCHOOL,MRS. EKTA SINGH,Secondary School,31/03/2023,"GHIROR ROAD, KURAWALI, MAINPURI, UTTAR PRADESH 205265 ,205265",",05672206373",info@aasthaelite.com,http://www.aasthaelite.com
2131626,AATMAN PUBLIC SCHOOL,KAJAL TYAGI,Senior Secondary,31/03/2023,"NEAR HARRA MORE, ROHTA ROAD, KHIVAI, MEERUT, UTTAR PRADESH ,250344","0121 ,235977",kajal.tyagi0004@gmail.com,http://www.aatmanpublicschool.org
2133382,ABG GURUKULAM,DR. BARKHA GUPTA,Secondary School,31/03/2023,"ABG GURUKULAM,MAHMOODPUR BARSESASNIHATHRAS ,204101",",05722276164",abggurukulam@gmail.com,www.abggurukulam.com
2120024,ABHINAV VIDYALAYA,PRINCIPAL,Senior Secondary,31/03/2022,"BLOCK- PARIKSHITGARH, DISTT. MEERUT, DIVISION MEERUT UP ,208008","0361 ,44011",anila@nds.vsnl.net.in,
2120025,ABHINAV VIDYALAYA ATTARCHHERI,PRINCIPAL,Secondary School,31/03/2019,"BLOCK-MAJHGAWAN, DISTT. BAREILLY, DIVISION BAREILLY UP ,",",",,
2120028,ABHINAV VIDYALAYA BIJOLI,PRINCIPAL,Senior Secondary,31/03/2021,"BLOCK- BAH, DISTT. AGRA, DIVISION AGRA UP ,",",0496 - 2623804",qybhavan@yahoo.co.in,
2120030,ABHINAV VIDYALAYA CHHALESAR,PRINCIPAL,Senior Secondary,31/03/2021,"BLOCK- JAWAN SIKANDARPUR, DISTT. ALIGARH UP ,110045",",0496 - 2623804",govtabhinavicchhaleshar@gmail.com,
2132207,ABS PUBLIC SCHOOL,MISS ANITA YADAV,Senior Secondary,31/03/2022,"NEAR DWAPER RESORTS, NH-2, VILLAGE KURKANDA ,281122","0565 ,0565-6505151,",abspublicschoolmathura@gmail.com,
2132917,ACADEMIC HEIGHTS PUBLIC SCHOOL,Mrs. Renu Lata Sharma,Secondary School,31/03/2025,"6TH MILESTONE,KHURJA-SIKANDRABAD,OLD G.T ROAD ,203131",",09717212288",khurjaahps@gmail.com,
2132914,ACN INTERNATIONAL SCHOOL,Mrs.MEENAKSHI SHARMA,Secondary School,31/03/2025,"ACN CITY, KASIMPUR POWER HOUSE ROAD, SATHA, ALIGARH ,202127",",0571-2404029",acnis@acngroup.in,http://www.acnis.in
2132827,ADARSH CITY CONVENT SCHOOL,Mr.MOHD SHANAWAZ,Secondary School,31/03/2025,"VILLAGE KAKORE ,203203",",8273666179",adarshcityconvent@gmail.com,
2132037,ADARSH GYAN SAROVAR PUBLIC SCHOOL,NEELAM,Senior Secondary,31/03/2021,"CHIRORI, GHAZIABAD ,201102","0120 ,692333",agsps.chirori@gmail.com,
2130738,ADARSH PUBLIC SCHOOL,NISHI OJHA,Senior Secondary,31/03/2026,"B-193 SECTOR 52 NOIDA, GAUTAM BUDH NAGAR, UTTAR PRADESH ,201307","0120 ,4274130",nishiojha1@gmail.com,
2133527,ADARSH PUBLIC SCHOOL,MRS. SAKSHI JAIN,Secondary School,31/03/2024,"ARNAWALI, ROHATA ROAD, MEERUT ,250502",",8375096943",apsarnawali@gmail.com,www.adarshpublicschool.com
2133441,"ADARSH PUBLIC SCHOOL, RAMPUR BUJURG, BAREILLY",MISS POOJA SINGHAL,Secondary School,31/03/2023,"VILLAGE RAMPUR BUJURG, POST DEVCHARA, DISTRICT BAREILLY ,243401",",9837848802",adarsh.rampurbujurg@gmail.com,
2133496,ADARSH VIDYA MANDIR,MRS. MONIKA AGRAWAL,Senior Secondary,31/03/2023,"SHAHPUR ROAD, GOPAL BAGH , KOSI KALAN ,281403",",05662232502",AVMKOSI580@GMAIL.COM,WWW.AVMKOSI.COM
2131739,"ADHARSHEELA GLOBAL SCHOOL VASUNDHARA SECT-3, GHAZIABAD",RITU RAJNISH,Senior Secondary,31/03/2024,"SECT-3, VASUNDHARA, GHAZIABAD ,201010","0120 ,4226425",principaladharsheela@gmail.com,http://www.adharsheelaglobalschool.com
2130077,AGRA PUBLIC SCHOOL,Mr.Verma,Senior Secondary,31/03/2024,"ARTONI AGRA UTTAR PRADESH ,282007","0 ,7535807005",dsvrma@rediffmail.com,
2133174,AGRA PUBLIC SCHOOL 8-10 OLD VIJAY NAGAR,MRS. POONAM MAHESHWARI,Senior Secondary,31/03/2022,"8-10 OLD VIJAY NAGAR COLONY AGRA-282004 UP ,282004",",7535807011",abhinavsharma0002@gmail.com,www.apsvijaynagar.com
2130789,AGRA VANASTHALI VIDYALAYA,SWARAJ PATHAK,Senior Secondary,31/03/2024,"JHARNA NALA CHALESAR FEROZABAD ROAD AGRA UP ,282006","0562 ,4030865",AVVAGRA@GMAIL.COM,http://www.jbnss.org
2130119,AIR FORCE SCHOOL,Mr. R K Soni,Senior Secondary,31/03/2026,"HINDON GHAZIABAD UTTAR PRADESH ,226008","0120 ,2899401",afshindanprincipal@yahoo.com,
2130137,AIR FORCE SR.SEC SCHOOL,Mr. Neeraj K Tiwari,Senior Secondary,31/03/2025,"AIR FORCE STATION BAREILLY UTTAR PRADESH ,243002","0581 ,2316550",cybercomps_2005@rediffmail.com,
2130561,AKAL ACADEMY,Rangbir Kaur,Senior Secondary,31/03/2022,"GOMTIPUL NAVADIA SULTANPUR PURANPUR PILIPHIT UTTAR PRADESH ,262122","0588 ,267343",aagomti@akalacademy.ac.in,
2130685,AKAL ACADEMY,SIMRAN KAUR THIND ,Senior Secondary,31/03/2022,"VPO KAJRI NIRANJANPUR TEHSIL POWYAN DISTT SHAHJANPUR UTTAR PRADESH ,242405","5844 ,277851",aakajri@akalacademy.in,
2131473,AKANKSHA GLOBAL ACADEMY,HARISCHANDRA,Senior Secondary,31/03/2023,"CIVIL LINES, BHOGAON ROAD MAINPURI ,205001","5672 ,7088007148",ME.MANNUCHAUHAN@GMAIL.COM,
2130776,AL-BARAKAAT PUBLIC SCHOOL,SABIHA KHAN,Senior Secondary,31/03/2026,"ANOOPSHAHR ROAD ALIGARH UP ,202002","0571 ,9045502007",abpsprincipal@gmail.com,http://www.albarkaat.com
2132585,AL-HIRA PUBLIC SCHOOL,MissAmbrina Usmani,Secondary School,31/03/2025,"AL-HIRA PUBLIC SCHOOL, DASNA ,201015","0120 ,9555576232",alhirapublicsclooldasna@gmail.com,
2131840,ALAKNANDA ACADEMIC SCHOOL,MRS. MONA SHARMA,Senior Secondary,31/03/2023,"SEMRI TAL,DEORI ROAD AGRA ,282001","0562 ,05626541568",alaknandaschool@gmail.com,http://www.alaknandaschool.in
2132012,ALEXANDER PUBLIC SCHOOL,RUCHI SHARMA,Secondary School,31/03/2023,"HAPUR DELHI BYPASS NEAR 44PAC MEERUT UP ,250004","0121 ,2774262",principalaps121@gmail.com,
2130364,ALIGARH MODERN SCHOOL,SHAAZIA TABASSUM,Senior Secondary,31/03/2024,"BEHIND HADI HASAN HALL DHOERRA P O KWARSI ALIGARH UTTAR PRADESH ,202002","0571 ,8266892164",shaaz.k513@gmail.com,
2130035,ALIGARH PUBLIC SCHOOL,SYED IRFAN ALI NAQVI VP,Senior Secondary,31/03/2023,"NISHAT KOTHI CIVIL LINES UNIVERSITY ROAD ALIGARH UTTAR PRADESH ,202002","0571 ,2700487",apsaligarh2014@gmail.com,
2130904,ALIGARH PUBLIC SCHOOL,YASMEEN RASHEED,Secondary School,31/03/2025,"SIYANA, BULANDSHAHAR ,245412","5736 ,270092",aligarh.public.school-siyana@live.com,
2131987,ALINGUA PUBLIC SCHOOL,MR.RAKESH KUMAR,Senior Secondary,31/03/2026,"VILLAGE KISOLA BLOCK AND TEHSIL SYANA DISTRICT BULANDSHAHR UP ,203403","0 ,7037981981",acskisola@gmail.com,http://www.alingua.in/
2131023,ALL SAINTS SCHOOL,RAMANAND CHAUHAN,Senior Secondary,31/03/2024,"KAHRAI, NEAR T. V. TOWER, SHAMSHABAD ROAD, AGRA ,282001","0562 ,3269426",chauhanramanand.s@gmail.com,http://www.xyz.com
2130386,ALL SAINTS SCHOOL,ASHA SINGH,Senior Secondary,31/03/2026,"DELHI ROAD BULANDSHAHAR ,203001","5732 ,283522",allsaints.bsr@gmail.com,
2133379,ALLEN CONVENT SCHOOL,MRS. MANORAMA SHARMA,Secondary School,31/03/2023,"H.N.KHERA, GHARI JAHAN SINGH ROAD , SHAMSHABAD, AGRA ,283125",",0919897213492",www.allen.convent.14@gmail.com,http://www.xyz.com/
2132988,ALLENHOUSE PUBLIC SCHOOL,MRS. MEETA ARORA,Senior Secondary,31/03/2023,"PS-2, SECTOR-2A, VASUNDHARA, GHAZIABAD ,201012",",9717652378",contact@allenhouseghaziabad.com,www.allenhouseghaziabad.com
2130385,ALMA MATER DAY BOARDING,MRS. POONAM,Senior Secondary,31/03/2024,"KURMANCHAL NAGAR BAREILLY UTTAR PRADESH ,243122","0581 ,0581-2315818",almamaterschool@hotmail.com,http://www.almamaterschool.ac.in
2131348,ALPINE INTERNATIONAL SCHOOL,ASHOK KUMAR,Senior Secondary,31/03/2022,"DELHI-SAHARANPUR ,247772","1398 ,233930",drakindian@gmail.com,http://www.alpineinternationalschool.in
2132354,ALPINE PUBLIC SCHOOL,MR.JATENDER SINGH MALIK,Senior Secondary,31/03/2026,"LOOMB ,250617","0123 ,01234246772,",anantinsan@gmail.com,http://www.alpinepublicschoolloomb.com
2130590,ALPINE PUBLIC SCHOOL,NIDHI GULATI,Senior Secondary,31/03/2024,"JUNCTION ROAD KHURJA BULANDSHAHAR UTTAR PRADESH ,203131","5738 ,253884",gulati.nidhi4@gmail.com,
2131451,"ALPINE PUBLIC SCHOOL,",DEEPAK TOMAR,Senior Secondary,31/03/2022,"VILLAGE JIVANA BARAUT, SHAMLI ROAD, BAGHPAT ,250611","0123 ,4263332",sudheerkumarbrt@gmail.com,
2132070,ALPINE VIDHYAPEETH,S K Bansal,Senior Secondary,31/03/2025,"CHARTHAWAL ROAD THANABHAWAN SHAMLI ,247777","0 ,7500965129",sandeep_sml@rediffmail.com,http://www.alpinevidhyapeeth.in
2131972,AMAN INTERNATIONAL SCHOOL,R K UPADHYAY,Senior Secondary,31/03/2025,"NEAR SHRI DHIRENDRA COLD STORAGE, BHAWAT ROAD, MAINPURI ,205001","5672 ,206373",nitgee.chauhan@gmail.com,http://amaninternationalschool.com
2130735,AMAR DEEP SCHOOL,ANUPAM SHARMA,Senior Secondary,31/03/2026,"VAIBHAV NAGAR FIROZABAD UP ,283203","5612 ,232382",fzd.ads@gmail.com,
2130758,AMAR PUBLIC SCHOOL,Ranjushree Mukherji,Senior Secondary,31/03/2024,"SECTOR 37 NOIDA UP ,201303","0120 ,2431613",ranjushree28@gmail.com,WWW.AMARPUBLICSCHOOL.COM
2130056,AMARNATH VIDYA ASHRAM SR SEC PUBLIC SCHOOL,ADITYA KUMAR VAJPEYI,Senior Secondary,31/03/2022,"DISTT MATHURA, UTTAR PRADESH ,281006","0565 ,2401821",aditya_vajpeyi@rediffmail.com,
2133389,AMBIENCE GLOBAL PUBLIC SCHOOL,MR. BHAGHMAL SHARMA,Secondary School,31/03/2023,"VILL SUNHERA BAGHPAT ,251609",",7409571140",agpssunhera@gmail.com,http://www.ambienec.com
2132294,AMBITION INTERNATIONAL SCHOOL,MRS. MUNESH RATHI,Senior Secondary,31/03/2024,"MEERUT -BIJNOR ROAD, BEHSUMA ,250401","1233 ,09917148051,",aisbehsuma@gmail.com,
2130284,AMITY INTERNATIONAL SCHOOL,RENU SINGH,Senior Secondary,31/03/2022,"SECTOR-44 NOIDA, DISTT GAUTAM BUDH NAGAR, UTTAR PRADESH ,201303","0120 ,4399000",principal@aisn.amity.edu,
2130884,AMITY INTERNATIONAL SCHOOL,SUNILA ATHLEY,Senior Secondary,31/03/2022,"H S -1 SECTOR -6, VASUNDHARA YOJNA ,201012","0120 ,2699412",SUNILAATHLEY@REDIFFMAIL.COM,
2131390,"AMITY INTERNATIONAL SCHOOL,",Valambal Balachandran,Senior Secondary,31/03/2022,"HS - 1, SECT- 1, VASUNDHARA GHAZIABAD ,201030","0120 ,2699290",principalsec1@aisv.amity.edu,http://www.amity.edu
2130972,AMOL CHAND PUBLIC SCHOOL,Mr.Nitin Chadda,Senior Secondary,31/03/2023,"G.T. ROAD, DISTT HATHRAS, UTTAR PRADESH ,204215","5721 ,09319277776,",acps212@gmail.com,http://www.acpschool.com
2131991,ANGEL INTERNATIONAL SCHOOL,MRS. GEETA SHARMA,Secondary School,31/03/2023,"KHASRA NO-440,VILLAGE HAWAL DHAULANA ROAD, PILKUWA ,245304","0122 ,9456039771,",saurabh9837@yahoo.com,http://www.angelinternationalschool.com
2132470,ANGEL PUBLIC SCHOOL,MRS. BRIJESH KUMARI,Senior Secondary,31/03/2026,"RANWARI, NH-2, CHHATA, DIST- MATHURA ,281401",",9760248933",angelpspadam@gmail.com,http://www.angelpublicschool.co.in
2132623,ANGELS PUBLIC INTERNATIONAL SCHOOL,MR. KULDEEP SHARMA,Senior Secondary,31/03/2022,"PLOT NO. 1395-96, NEAR PAHASU ELECTRIC SUB-STATION, PAHASU, BULANDSHAHAR ,203396","0563 ,05633220371",angelspublicschool1@gmail.com,http://www.angelpublicschool.com
2132604,ANKUR PUBLIC SCHOOL,Mrs.BHAVANA SHARMA,Secondary School,31/03/2025,"BHARTARI, CHIRKULA MOD, BLOCK LODHA, TEHSIL KOIL, G.T.ROAD, ALIGARH - 202001 ,202001",",09634600456",ankurpublicschool01@gmail.com,http://www.ankurpublicschool.in
2130157,ANNIE BESANT SCHOOL,Kusum Yadav,Senior Secondary,31/03/2022,"F-BLOCK SHASTRI NAGAR MEERUT UTTAR PRADESH ,250004","0121 ,2762605",ymanu26@yahoo.co.uk,
2133348,ANU BAL BHARTI PUBLIC SCHOOL,MR. MR. NEERAJ KUMAR,Senior Secondary,31/03/2024,"NEAR BUS STAND,B.B. NAGAR, BULANDSHAHAR, U.P.-203402 ,203402",",9837623511",abbps.bulanshahar@gmail.com,http://www.anubalbharti.com/
2130920,APEEJAY INTERNATIONAL SCHOOL,YASHIKA BHARDWAJ,Senior Secondary,31/03/2023,"1 INSTITUTIONAL AREA, SURAJPUR - KASNA ROAD, GREATER NOIDA, GAUTAM BUDH NAGAR, UTTAR PRADESH ,201306","0120 ,2326016",prin.ais.gnvd@apeejay.edu,http://www.apeejay.edn
2130030,APEEJAY SCHOOL,Avanish Kumar Sharma,Senior Secondary,31/03/2023,"SECTOR-16-A NOIDA GAUTAM BUDH NAGAR UTTAR PRADESH ,201301","0120 ,2515141",prin.ms.nvd@apeejay.edu,
2130617,ARCADIAN PUBLIC SCHOOL,FARIDUL REHMAN KHAN,Senior Secondary,31/03/2026,"NAUHJHEEL BAJNA ROAD BAJNA MATHURA UTTAR PRADESH ,281201","0566 ,293939",arcadianpublic@yahoo.co.in,
2130074,ARMY PUBLIC SCHOOL,COL RANDHIR SINGH,Senior Secondary,31/03/2025,"HORN LINES MATHURA CANTT- UTTAR PRADESH ,281001",",2231",hindalco.rsgr@rmj.sprintrpg.ems.vsnl.net.in,
2130278,ARMY PUBLIC SCHOOL,MRS ANITA SHAH,Senior Secondary,31/03/2026,"SECTOR 37 ARUN VIHAR NOIDA UTTAR PRADESH ,201303","0510 ,4430430",apsnoidasec37@gmail.com,
2130864,ARPAN PUBLIC SCHOOL,MANDEEP SAINI,Senior Secondary,31/03/2023,"DELHI SAHARANPUR ROAD THANA BHAWAN MUZAFFAR NAGAR UTTAR PRADESH ,247777","1398 ,234041",arpanpublicschool@rediffmail.com,www.rishischool.com
2133289,ARUN INTERNATIONAL SCHOOL,MRS. SHIKHA SHARMA,Secondary School,31/03/2022,"VYDSM, DHARTA, POWER HOUSE. ,203131",",8194021853",aruninternationalschool@gmail.com,http://aruninternationalschool.org
2132730,ARWACHIN INTERNATIONAL SCHOOL,MR. DURJAN PRASAD SHARMA,Senior Secondary,31/03/2026,"VILLAGE - PIPLABANDPUR, PABLA ROAD PILKHUWA HAPUR UP ,245304","0122 ,01222320155,",info@aispilkhuwa.com,http://www.aispilkhuwa.com
2132837,ARYA BANDHU PUBLIC SCHOOL,MISS MAMTA DABAS,Senior Secondary,31/03/2022,"VILLAGE - SADAT NAGAR, IKLA POST - DASNA, DISTT. GHAZIABAD ,201001","0 ,9899845141,",aryabandhupublicschool@yahoo.in,
2132221,ARYA KAMAL PUBLIC SCHOOL,MR. RAJENDRA SINGH,Senior Secondary,31/03/2026,"VILL. HABIBPUR-KHERA CHOUGANPUR, P/O-KULESRA, DISTT.-G.B.NAGAR, UP ,201306","0 ,0120-3257322,9654641713,9899257670,",aryakamalpublicjr.hr.school@gmail.com,
2132449,ARYAVARTT PUBLIC SCHOOL,MRS. SOMA DUTTA,Senior Secondary,31/03/2026,"VILLAGE PALLA POST- DADRI DISTRCIT- GAUTAMBUDH NAGAR ,203207","0120 ,9311704681,",udayp2763@gmail.com,
2130772,ASCENT INTERNATIONAL SCHOOL,BIRENDRA KUMAR,Senior Secondary,31/03/2022,"DELTA II HS 11 B GREATER NOIDA GAUTAM BUDH NAGAR UP ,201308","0 ,9910057657",aisgrnoida@gmail.com,
2130117,ASHOKA ACADEMY,NEELAM GERA,Senior Secondary,31/03/2024,"KANKER KHERA MEERUT CANTT UTTAR PRADESH ,250001","0121 ,2630004",ashokaa7@gmail.com,
2131518,ASHOKA PUBLIC SCHOOL,A BHANU,Senior Secondary,31/03/2023,"SUBHASH ROAD KHURJA, BULANDSHAHAR, UTTAR PRADESH ,203131","5738 ,244755",ashokapublicschool@gmail.com,
2130625,ASPAM SCOTTISH SCHOOL,ARCHANA S MANKOTIA,Senior Secondary,31/03/2025,"A 43 SECTOR 62 NOIDA UTTAR PRADESH ,201301","0120 ,2400522",archanamankotia@gmail.com,
2130086,ASSISI CONVENT SCHOOL,Sr.Anjali Maria,Senior Secondary,31/03/2026,"AGRA ROAD, ETAH UTTAR PRADESH ,207001","0574 ,233450",assisi.e@rediffmail.com,
2130189,ASSISI CONVENT SCHOOL,SISTER THERESE,Senior Secondary,31/03/2024,"A-43 SECTOR - 33 NOIDA, GAUTAM BUDH NAGAR, UTTAR PRADESH-201307 ,201307","0120 ,2505412",assisinoida@gmail.com,
2131924,ASTER PUBLIC SCHOOL,SHARBARI BANERJEE,Senior Secondary,31/03/2024,"HS-1, SECTOR 3 GREATER NOIDA WEST, DADRI GAUTAM BUDH NAGAR, ,201303","0120 ,2394444",sharbari.banerjee@asterinstitutions.com,http://www.asterinstitutions.com
2130577,ASTER PUBLIC SCHOOL,MR. SUNIL KUMAR SAXENA,Senior Secondary,31/03/2024,"J-I, DELTA-II, GREATER NOIDA-201310, G.B. NAGAR UTTAR PRADESH ,201310","0120 ,0120-2320901",sunil.saxena@asterinstitutions.com,http://www.asterinstitutions.com/greater-noida/
2130041,ATOMIC ENERGY CENTRAL SCHOOL,Shri R S Solanki,Senior Secondary,31/03/2025,"NAPP TOWNSHIP NARORA BULANDSHAHR UTTAR PRADESH ,202389","05734 ,222251",naps@giasdl01.vsnl.net.in,
2130960,AUM SUN PUBLIC SCHOOL,SHALINI AGARWAL,Senior Secondary,31/03/2023,"DELHI MEERUT ROAD, MURAD NAGAR, GHAZIABAD ,201206","1232 ,254607",aum_sun@rediffmail.com,
2133313,AVENUES THE INTERNATIONAL SCHOOL,MR. L B SHARMA,Secondary School,31/03/2022,"JALESAR ROAD KAKRAU FIROZABAD UP ,283203",",05612",mcguptaadv@gmail.com,http://www.atis.com
2131834,AVMD INSTITUTE,NIRMAL CHAUHAN,Senior Secondary,31/03/2022,"277 SAWAI-BHAWAI ROAD,VILLEGE-SAWAI TEHSIL-ETMADPUR,AGRA ,283202","0562 ,22336544",avmdinstitute@gmail.com,
2131228,AWAGARH PUBLIC SCHOOL,AMIT KUMAR PANDEY,Senior Secondary,31/03/2020,"AWAGARH PUBLIC SCHOOL,JALESAR ROAD,AWAGARH,ETAH,U.P. ,207301","5745 ,224260",amitpandey438@gmail.com,
2132095,AYAN NATIONAL PUBLIC SCHOOL,WASIM ALAM ,Senior Secondary,31/03/2025,"VILL-JALPURA-HALDONI,BISRAKH ROAD,GREATER NOIDA ,G.B.NAGAR ,201306","0120 ,6575873",anps2016@gmail.com,
2133112,AYESHA PUBLIC SCHOOL,MR. ANIL KUMAR SINGH,Senior Secondary,31/03/2023,"NH-24, MASOORIE, GHAZIABAD ,201302","0474 ,9015573782",shamsbiotech78674@gmail.com,http://www.ayeshapublicschool.in
2130311,AYESHA TARIN MODERN PUBLIC SCHOOL,HUMA WASEEM,Senior Secondary,31/03/2026,"ANOOPSHAHR ROAD ALIGARH UTTAR PRADESH ,202002","0571 ,3292864",principal@ayeshatarin.com,
2132849,AZAD INTERNATIONAL SCHOOL,MR. SURENDRA KUMAR SHARMA,Senior Secondary,31/03/2023,"VILL-CHITSAUN SHIKARPUR ROAD BULANDSHAHR ,203001","5732 ,0",shakher_2009@rediffmail.com,azadinternationalschool.com
2130234,AZAD PUBLIC SCHOOL,NITESH KUMAR SINGH ,Senior Secondary,31/03/2022,"AZAD NAGAR BULANDSHAR UTTAR PRADESH ,203001","5732 ,235035",nitesh_176@rediffmail.com,
2130461,B DEVRAS SARASWATI VIDYA MANDIR,KESHAV KUMAR SHARMA,Senior Secondary,31/03/2026,"H 107 SEC 12 NOIDA, GAUTAM BUDH NAGAR, UTTAR PRADESH ,201301","0120 ,2536903",BDSVIDYAMANDIR@REDIFFMAIL.COM,
