Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
530382 ,A K DAV PUBLIC SCHOOL,SARVJEET,Senior Secondary,31/03/2024,"ISMAILABAD KURUKSHETRA HARYANA ,132129","1744 ,252198",sarvjeetkaur59@yahoo.com,
630222 ,A N M INTERNATIONAL SCHOOL TAHLIWAL,MISS VIJAYTA RANA,Senior Secondary,31/03/2023,"V.P.O. TAHLIWAL ,174507","1887 ,01975-233758,",anminternationalschool@gmail.com,http://www.anmis.in
530375 ,A P G PUBLIC SCHOOL,ALKA  GARG,Senior Secondary,31/03/2020,"SAMPLA ROAD KHARKHODA DT SONIPAT HARYANA ,124402","0130 ,9255495032",apgpublucschool7@gmail.com,http://www.bgsnps.com
531498 ,A P SENIOR SECONDARY SCHOOL,Mrs.Sujata,Senior Secondary,31/03/2025,"SANJAY COLONY, SECTOR-23 ,121005",",01292233746",apschoolfbd@gmail.com,
530476 ,A V INTERNATIONAL PUBLIC SCHOOL,NEETU MADAAN,Senior Secondary,31/03/2022,"ITI CHOWK RANIA CHOWK SIRSA HARYANA ,125055","1666 ,227700",avips_sirsa@yahoo.com,
531135 ,A. V. VIDYAMANDIR,MRS. KUSUM ARORA,Senior Secondary,31/03/2024,"VILLAGE TATIANA, PO BADSUI (CHEEKA) ,136034","9050 ,9050004702",avvidyamandir@gmail.com,www.avvidyamandir.com
531002 ,A. XAVIER'S INTERNATIONAL SCHOOL,RENU BALA,Senior Secondary,31/03/2024,"BIRDTH - THEH ROAD, SALEMPUR, WARD NO.14 CHEEKA ,136035","1743 ,202088",renu.bala59@yahoo.com,
530832 ,A.B.M PUBLIC SCHOOL,NABONITA GHOSH,Senior Secondary,31/03/2022,"WAZIRPUR-BHUPANI ROAD, RIWAZPUR (SECTOR-89) ,121002","0129 ,2202500",infoabmschool@gmail.com,http://www.abmschool.com
530816 ,A.D. SENIOR SECONDARY SCHOOL,SUBHASH CHANDER,Senior Secondary,31/03/2023,"B-210, DABUA COLONY, NUT, FARIDABAD ,121001","0129 ,2481958",ad_school@rediffmail.com,
531868 ,A.V.N. GLOBAL SCHOOL,MRS. MONIKA KHANNA,Middle Class,31/03/2024,"VILLAGE DOBH, ROHTAK, HARYANA-124001 ,124001",",8684057533",avnglobalschoolrohtak@gmail.com,www.avnglobalschool.com
531295 ,AADHAR INTERNATIONAL PUBLIC SCHOOL,SEEMA HOODA,Secondary School,31/03/2024,"VILL. SAMASPUR MAJRA ,124109","1251 ,9254345645",seemagod@gmail.com,
531111 ,"AADHARSHILA PUBLIC SCHOOL, JIND",ANJU,Senior Secondary,31/03/2024,"NEW BYPASS, SAFIDON ROAD, JIND, HARYANA ,126102","1681 ,291423",apsharyana@gmail.com,http://www.aadharshila.org
630138 ,AADHARSHILA SCHOOL,Sanjay Kher,Senior Secondary,31/03/2024,"UPPAR PUNNER ROAD (VIA BHAWARNA), TEH- PALAMPUR, DISTT KANGRA, HP-176102 ,176102","0000 ,000000",kherrk@hotmail.com,
531580 ,AADHARSHILA VIDYAPEETH,Mrs.sushma,Secondary School,31/03/2021,"V.P.O. NARNAUL ,123001",",9416416643",aadahrshilavidyapeeth001@yahoo.com,
630055 ,AADHUNIK PUBLIC SCHOOL,Mrs.Anita Verma,Senior Secondary,31/03/2023,"SIDHBARI DHARAMSHALA HIMACHAL PRADESH ,176057","1892 ,236298",aadhunikschool1995@gmail.com,www.aadhunikschool.in
531209 ,AAKASH INTERNATIONAL SCHOOL,USHA DAHIYA,Senior Secondary,31/03/2025,"SEC-36, NUNA MAJARA, JHAJJAR ROAD ,124507","0 ,9466469533",dahiya.usha@yahoo.co.in,http://www.aisb.co.in/
530358 ,AARON PUBLIC SCHOOL,BIJENDER SINGH,Senior Secondary,31/03/2021,"BEHIND CIVIL COURT EMPLOYEES COLONY, JIND HARYANA ,126102","1681 ,254091",bijenkhatkar@yahoo.co.in,
531477 ,AASTHA INTERNATIONAL PUBLIC SCHOOL,Mr.Suresh Kumar,Senior Secondary,31/03/2025,"V.P.O.DOBHI ,125001",",9518593000",aipsdobhi@gmail.com,
530715 ,AASTHA PUBLIC SCHOOL,VIKAS YADAV,Senior Secondary,31/03/2024,"VILLAGE AND P.O. BASDUDA ,123401","0128 ,9467757201",apsbasduda@gmail.com,
531648 ,ABHED SHAKTI SADAN SCHOOL,MRS. POOJA ARORA,Secondary School,31/03/2022,"BHAGAT MANDI DISTT KARNAL ,132001",",9034403901",ABHARTI061977@GMAIL.COM,
630210 ,ACHIEVERS HUB PUBLIC SCHOOL,MRS. MEGHA TOKES,Senior Secondary,31/03/2026,"MOHAL JHIKLI DAR, MAUZA KHANIARA, DHARAMSHALA ,176057","1892 ,01892222263,",ahpsdharamshala@gmail.com,http://www.ahpsdharamsala.com
531006 ,ACME INTERNATIONAL SCHOOL,Manisha Sarin,Senior Secondary,31/03/2022,"SECTOR-12, INDRI ROAD, ,122123","0124 ,2013775",principalacme@yahoo.com,
531903 ,"ADARSH CONVENT SENIOR SECONDARY SCHOOL KAIRU, BHIWANI",MRS. MONIKA,Secondary School,31/03/2023,"VPO KAIRU ,127029",",01253283383",acssskairu@gmail.com,WWW.ADARSHCONVENTSCHOOLKAIRU.IN
531572 ,ADARSH PUBLIC SCHOOL CHARKHI DADRI,MR.NAVEEN KUMAR,Secondary School,31/03/2026,"PREM NAGAR WARD NO. 03, GALI NO. 04 ,127306",",01250 223184",apsdadri@gmail.com,http://apscharkhidadri.com
531413 ,ADARSH PUBLIC SENIOR SECONDARY SCHOOL,SALINDER KUMAR,Senior Secondary,31/03/2025,"VPO GARHI BIRBAL TEH INDRI DISTT KARNAL ,132054","0184 ,2382560",mandhansurender@gmail.com,
531228 ,ADARSH SEN.SEC.SCHOOL,RICHPAL,Senior Secondary,31/03/2023,"JIND ROAD ASSANDH ,132039","0174 ,9996550010",,
530737 ,ADARSH SENIOR SECONDARY SCHOOL,BHARAT BHUSHAN,Senior Secondary,31/03/2022,"GULSHAN NAGAR , HISAR ROAD, DISTT BHIWANI, HARYANA ,127040","1253 ,258853",bhushan9471@gmail.com,http://www.adarshschool.co.in
