Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
330108 ,A A M CHILDRENS ACADEMY,SATYAJEET BOSE,Senior Secondary,31/03/2024,"KATHIAR PO KATHIAR DISTT KATHIAR BIHAR ,854105","6452 ,245821",principalaamca@gmail.com,stjosephnawada.com
3430620,A K MEMORIAL DPS PARSABAD,MR. MD FIROJ KHAN,Secondary School,31/03/2024,"STATION ROAD, PARSABAD, JAINAGAR, KODERMA, JHARKHAND ,825318",",9955476698",dpsparsabad@gmail.com,http://www.akmdps.com
3430192,A R S PUBLIC SCHOOL,BISWAJIT PATRA,Senior Secondary,31/03/2026,"B S L LH BOKARO STEEL CITY JHARKHAND ,800018","6542 ,09204780407",biswajitpatra4869@rediffmail.com,
330755 ,A. Y. INTERNATIONAL SCHOOL,Mrs.Afrin Khanam,Secondary School,31/03/2025,"AT & P.O.-REBRA, P.S.-KHANPUR,DIST-SAMASTIPUR ,848117",",8677042789",principal.ayisrebra@gmail.com,http://www.ayinternationalschool.com
330587 ,A.N.R. PUBLIC SCHOOL,MUKESH KUMAR,Secondary School,31/03/2022,"HAJIPUR, JEHANABAD ,804417","6114 ,222222",ANRPUBLICSCHOOL@GMAIL.COM,
330850 ,AARYA MISSION SCHOOL,MR. ASHISH RAI,Secondary School,31/03/2022,"NH-57,MANIKPUR,BARDAHA,ARARIA-854311 ,854311",",8521469185",info@aaryamissionschool.com,http://www.aaryamissionschool.com
330298 ,ABR FOUNDATION SCHOOL,SUNIL SINGH,Senior Secondary,31/03/2026,"SHANTI NAGAR, VILL-NEKRA, P.O-AGRAR, SASARAM,DIST ROHTAS ,BIHAR ,821113","6184 ,224111",principalabrfoundationschool@yahoo.com,
330090 ,ACHARYA NARENDER DEO PUB SCHOOL,ANIL KUMAR SINGH,Senior Secondary,31/03/2022,"AT & PO KHALPURA VIA GULTAINGANJ DISTT SARAN CHAPRA BIHAR ,841211","0615 ,273493",anilkumarsingh2163@gmail.com,
330121 ,ACHARYA SHRI SUDARSHAN KRISHNA NIKETAN,Mrs. Anita Singh,Senior Secondary,31/03/2024,"KRISHNA VIHAR, JAKARIAPUR, NEW BYE PASS ROAD, PATNA ,800007","0612 ,2342027",knpatna@yahoo.com,
330015 ,ACHARYA SHRI SUDARSHAN PATNA CENTRAL SCHOOL,SHAMSHER PRASAD SINGH,Senior Secondary,31/03/2022,"SUDARSHAN VIHAR NEW BYEPASS ROAD PATNA BIHAR ,800020","0612 ,9102997549",principal@aspcspatna.ac.in,www.aspcspatna.ac.in
