Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
2132068,A B S INTERNATIONAL SCHOOL,VISHAL SURYABHAN RAUT,Senior Secondary,31/03/2025,"MAHARAJGANJ BADLAPUR JAUNPUR ,222125","5453 ,241132",rautv8785@gmail.com,
2133252,A K INTERNATIONAL SCHOOL,MRS. POONAM RAI,Senior Secondary,31/03/2024,"VILL-GARERIYA KA PURA, POST- MOHAMMADABAD, GHAZOPUR ,233227",",0548222476",akinternationalschool1@gmail.com,www.akinternationalschool.com
2131955,A P PUBLIC SCHOOL,Anjali Pandey,Senior Secondary,31/03/2025,"KAMPIL ROAD, KAIMGANJ ,209502","5690 ,230077",anjalipandey1977@gmail.com,
2130419,A P S ACADEMY,HEMA KALAKOTI,Senior Secondary,31/03/2025,"SENANI VIHAR RAE BARELI ROAD LUCKNOW UTTAR PRADESH ,226002","0522 ,8176067393",hemakalakoti@gmail.com,
2132803,A R K CONVENT SCHOOL,MR. MAHESHWAR PRASAD TRIPATHI,Senior Secondary,31/03/2023,"RAKSARAI,SARAI AKIL,KAUSHAMBI,U.P. ,212216","0 ,9918892727,",amitkush0532@gmail.com,http://www.arkconventschool.com/
2130581,A S PUBLIC COLLEGE,ALKA SINHA,Senior Secondary,31/03/2023,"RAI BAREILLY ROAD UTTARETIA LUCKNOW UTTAR PRADESH ,226025","0522 ,8176007478",principalaspubliccollege@gmail.com,
2130067,A T L SCHOOL,SANTOSH KUMAR DASS,Senior Secondary,31/03/2024,"P O BHUPIAMAU PRATAPGARH DISTT UTTAR PRADESH ,230001","5342 ,244071",skd9453296565@rediffmail.com,
2132613,A. D. ACADEMY,AJAY KUMAR SINGH,Secondary School,31/03/2025,"DHARMUPUR, DUBAULIA, BASTI ,272131","0551 ,2980091",adacademybasti@gmail.com,http://www.adacademy.com
2132322,A. J. J.  ACADEMY,BASANT LAL,Senior Secondary,31/03/2022,"LASHKARPUR, VARANASI ,221101","0 ,8115766074",contact2basant@rediffmail.com,
2132929,A. P. G. R. GLOBAL SENIOR SECONDARY SCHOOL,Mr.PADMESH TIWARI,Secondary School,31/03/2025,"INAMIPUR, KUCHAI, PARGANA NATHUPUR, ,221603",",9532802498",apgrglobalschool@gmail.com,http://www.apgrschool.com
