Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
1131031,A.B.M. ENGLISH HIGH SCHOOL,MR. JOSEPH KJ,Secondary School,31/03/2023,"HINGOLI ,431513",",02456223333",abmenghsh@gmail.com,www.abmenglishschool.com
1130998,A.R.C. PUBLIC SCHOOL,MR. SHARAD S RANOTKAR,Secondary School,31/03/2023,"A.R.C. PUBLIC SCHOOL, NARA ROAD, KARANJA GHADAGE, DIST-WARDHA ,442203",",07156245111",arcschool.karanja@gmail.com,http://www.arcp.co.in
1130983,A.S.MS EMPROS INTERNATIONAL SCHOOL,MR. SHAIKH ISHTIYAQUE AHMED,Secondary School,31/03/2023,"TAL. MAVAL, DIST. PUNE ,410506",",9011004835",principal@asmedu.org,www.asmgroup.edu.in
1130984,"A.S.MS EMPROS INTERNATIONAL SCHOOL, CHINCHWAD",DR. SANGHARSHA ATUL MESTRY,Secondary School,31/03/2023,"CHINCHWAD PUNE ,411019",",9011004836",sangharsha_mestry@rediffmail.com,www.asmedu.org
1130648,AARYA PUBLIC SCHOOL,RAVINDRA R LOKHANDE,Secondary School,31/03/2020,"AT GANGAMAINAGAR, POST PIMPALNER, TALUKA MADHA ,413210","0 ,9765412034",aryaps4455@gmail.com,
1130811,"AARYA PUBLIC SCHOOL, MADHA",MR. NITIN WAGHMODE,Secondary School,31/03/2026,"NEAR SUNANDA SPINNING MILL, SOLAPUR ROAD, MADHA ,413209",",7038052555",parveenmeher@gmail.com,
1130218,AARYANS SCHOOL,Sonal band,Secondary School,31/03/2023,"S.NO.12/15,BHILAREWADI, TALUKA-HAVELI, DIST. PUNE ,411046","020 ,24699109",paaryans@gmail.com,http://www.aaryanschool.com
1130912,"AB INTERNATIONAL PRIMARY, SECONDARY,AND HIGHER SECONDARY ENGLISH SCHOOL",MRS. MINI ANTONY MARROTICKAL,Secondary School,31/03/2022,"GUT NO. 107, SAWANHI-CHIKALTANA BYPASS, (NEAR PISADEVI), POKHARI, AURANGABAD ,431008",",02402482955",abschool.pokhari@gmail.com,
1130637,"ABHINAV EDUCATION SOCIETYS VASUNDHARA ACADEMY, AKOLE",MR. LAXMIKANT JGANNATH AHER,Secondary School,31/03/2025,"DHAMANGAON AWARI ROAD, AKOLE ,422601","2424 ,02424221283",vasundhara.academy2016@gmail.com,http://www.vasundharaacademy.org
1130340,ABHINAV ENGLISH SCHOOL,Ashwini mujumdar,Senior Secondary,31/03/2022,"SR. NO.23/2/3, A/P. NARHE, TAL.HAVELI, DIST. PUNE-41. ,411041","020 ,20244143",ashwinimujumdar23@gmail.com,http://www.abhinaveducation.org
