Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
930948 ,A E S PUBLIC SCHOOL,SUMA VS,Secondary School,31/03/2025,"BSNL ROAD, ERUMAPETTY, THRISSUR DISTRICT, KERALA STATE ,680584","4885 ,265617",vssumasathyan@gmail.com,http://www.aespublicschool.org
930273 ,A J CENTRAL SENIOR SECONDARY SCHOOL,JAYANTHI S,Senior Secondary,31/03/2022,"KAZHAKOOTAM THIRUVANTHAPURAM KERALA ,695582","0471 ,2418441",principalleo@gmail.com,http://www.kunilschool.co
930305 ,A J I ENGLISH SCHOOL,VEENA KUMARI,Senior Secondary,31/03/2023,"PARAKATTA P O UPPALA KASARAGOD DISTT, KERALA ,671322","4998 ,243434",principal@ajisses.in,www.ajisses.in
930089 ,A P R M CENTRAL SCHOOL,SURUMY Y,Senior Secondary,31/03/2024,"KIZHUKKUMBAGAM CHITHARA PO KOLLAM DIST KERALA ,691559","0474 ,2429482",aprmcentralschoolchithara@gmail.com,http://www.aprmedu.org
930867 ,A.E.T. ENGLISH MEDIUM SCHOOL,SAJITH KUMAR  A,Secondary School,31/03/2024,"AMAYUR P.O. PATTAMBI PALAKKAD KERALA ,679310","0466 ,2311662",sajithaet@gmail.com,
930998 ,A.G. PUBLIC SCHOOL,MRS. MARYKUTTY JOSE,Secondary School,31/03/2023,"SWAMIMUKKU, PULIPPARRA P.O. KADAKKAL 691536 ,691536","0474 ,04742425440",agpublicschool@gmail.com,www.agpublicschool.com
930171 ,ABDUL SALAM RAFI RESIDENTIAL SCHOOL,SATHEESH BABU S,Senior Secondary,31/03/2024,"NETAYAM, KANCHANI, THIRUVANANTHAPURAM KERALA ,695013","0471 ,2362890",arrpublicprincipal@yahoo.co.in,
930838 ,ACE PUBLIC SCHOOL,BINDU P,Senior Secondary,31/03/2026,"CHERANI P.O MANJERI ,676123","0483 ,2100805",bindusunil2013@gmail.com,
930404 ,ADAM PUBLIC SCHOOL,SEENA J KALARIKKAL,Secondary School,31/03/2025,"ANGAMALY ALWAYE ERNAKULAM KERALA ,683572","0484 ,2454522",seenajkalarikkal@gmail.com,
930117 ,ADARSHA VIDYA BHAVAN,PREETHI C R,Senior Secondary,31/03/2023,"NORTH PARAVUR ERNAKULAM DISTT, KERALA ,683513","0484 ,2445033",preethicr242@gmail.com,
930964 ,ADI SANKARA VIDYA PEEDAM,Madhubala,Secondary School,31/03/2025,"NALLEPILLY (PO) PALAKKAD- 678553 ,678553","4923 ,283583",principalasvp@gmail.com,http://www.narayanalayam.org
931208 ,ADIYODI VAKEEL SMARAKA TAGORE VIDYAPEETAM,VALSALAN P V,Secondary School,31/03/2022,"NANGARATHE PEETIKA, TEMPLE GATE (P O)THALASSERY KANNUR ,670102","0490 ,2359111",valsalanpvtml@gmail.com,
931279 ,ADWAITA MISSION PUBLIC SCHOOL,MRS. KAVITHA M O,Secondary School,31/03/2025,"PUTHUKODE(P O) RAMANATTUKARA(VIA) MALAPPURAM ,673633","0483 ,04832833800",adwaithaputhukode@gmail.com,www.adwaitaputhukode.in
930475 ,AES CENTRAL SCHOOL,AK ROY,Senior Secondary,31/03/2025,"ALLOOR PO KANMANAM THEKKUMURI MALAPPURAM KERALA ,676551","0494 ,2579936",royalelamala@gmail.om,
930850 ,AHALIA PUBLIC SCHOOL,JAYA NARAYANAN,Senior Secondary,31/03/2022,"KOZHIPARA P.O,P.B NO- 123,PALAKKAD. ,678557","91 ,9496004570",principal.aps@ahalia.edu.in,http://www.afeh.org
930062 ,AIRPORT SCHOOL,SREEKALA B,Senior Secondary,31/03/2026,"CALICUT AIRPORT POST MALAPPURAM DIST KERALA ,670013","0483 ,2712640",principal@airportschool.ac.in,
930515 ,AIS ENGLISH MEDIUM SCHOOL,ROBINSON  C  J,Secondary School,31/03/2023,"ARAKKUPARAMBA PO PERINTALMANNA MALAPPURAM DISTT KERALA ,679322","4933 ,251500",robinsonshibi@gmail.com,
930557 ,AISHWARAYA PUBLIC SCHOOL,V ANIL KUMAR,Senior Secondary,31/03/2026,"KALAKKODE POOTHAKULAM PO KOLLAM DISTT KERALA ,691302","0474 ,2061049",apskalakkode@yahoo.com,
930862 ,AKM PUBLIC SCHOOL,RAJEENA M G,Senior Secondary,31/03/2022,"RUBY NAGAR P.O MORKULANGARA CHANGANACHERRY. ,686103","0481 ,2402161",rejeenamg9@gmail.com,http://sabscongregation.org
930481 ,AL AMEEN CENTRAL SCHOOL,Suseela Kuriakose,Senior Secondary,31/03/2025,"PERINGODE PO KOOTTANAD PALAKKAD DISTT KERALA ,679535","0466 ,2370596",principalalameenktd@gmail.com,
930686 ,AL AMEEN CENTRAL SCHOOL,PONNAMMA ASHOK,Senior Secondary,31/03/2024,"PULIYOUR VANCHI SOUTH EDAKKULANGARA PO KARUNAGAPPALLY KOLLAM DISTT KERALA ,690562","0476 ,2626879",ponnuashok19@gmail.com,
930498 ,AL AMEEN INTERNATIONAL PUBLIC SCHOOL,SUMINA H,Senior Secondary,31/03/2025,"EDATHALA ALUVA ERNAKULAM DISTT KERALA ,683564","0484 ,2837948",sumi.subin8@gmail.com,
930478 ,AL AMEEN PUBLIC SCHOOL,ASHA YETHEES,Senior Secondary,31/03/2024,"CHANDIRO ALAPPUZHA DISTT., KERALA ,688547","0478 ,2871351",yetheesasha@gmail.com,
930509 ,AL AMEEN PUBLIC SCHOOL,GEETHA NAIR L,Senior Secondary,31/03/2024,"PATHANAPURAM PO KOLLAM DISTT KERALA ,689695","0475 ,2351206",geethanairbvb@gmail.com,
930663 ,AL AMEEN PUBLIC SCHOOL,KAVITHA ALEXANDAR,Senior Secondary,31/03/2022,"SREEMOOLANAGARAM ERANAKULAM DISTT KERALA ,683580","0484 ,2600033",kavithasantony@gmail.com,
930392 ,AL ANSAR ENGLISH MEDIUM PUBLIC SCHOOL,MANSOOR VP ,Secondary School,31/03/2026,"MUNDAMPARAMBA PULIYACODE PO DISTT MALAPPURAM KERALA ,673641","0483 ,2754020",vpmkallay@gmail.com,
930685 ,AL AZHAR PUBLIC SCHOOL,NAUSHAD KASSIM,Senior Secondary,31/03/2022,"PERUMPILLICHIRA PO THODUPUZHA IDUKKI DISTT KERALA ,685605","0486 ,2221282",naushadkassim@gmail.com,
931179 ,AL BADAR CENTRAL SCHOOL,Titto M Joseph,Secondary School,31/03/2022,"MELATTUR P O, MALAPPURAM DIST, KERALA, INDIA, 679326. ,679326","0493 ,277420",tittomjoseph@gmail.com,
930466 ,AL FALAH ENGLISH SCHOOL,N G SURENDRAN,Senior Secondary,31/03/2023,"FALAH NAGAR PO KAIPURAM NADUVATTAM PALAKKAD DISTT KERALA ,679308","0466 ,2218101",nairgsurendran@gmail.com,
930437 ,AL FAROOQUE ENG MED SCHOOL,KAREEM NAYARUVEETTIL,Secondary School,31/03/2026,"PANDIKKAD MALAPPURAM KERALA ,676521","0483 ,2785088",pkd.kareem@gmail.com,
